MB_CODE_2021,MB_CATEGORY_2021,CHANGE_FLAG_2021,CHANGE_LABEL_2021,SA1_CODE_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,GCCSA_CODE_2021,GCCSA_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021,LGA_CODE_2023,LGA_NAME_2023,SAL_CODE_2021,SAL_NAME_2021,POA_CODE_2021,POA_NAME_2021
80000010000,Parkland,0,No change,80105112301,801051123,Black Mountain,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.6714,http://linked.data.gov.au/dataset/asgsed3/MB/80000010000,89399,Unincorporated ACT,80003,ACT Remainder - Canberra Central,2601,2601
80000020000,Parkland,0,No change,80105112301,801051123,Black Mountain,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,5.8873,http://linked.data.gov.au/dataset/asgsed3/MB/80000020000,89399,Unincorporated ACT,80003,ACT Remainder - Canberra Central,2601,2601
80000030000,Parkland,0,No change,80105104904,801051049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.3145,http://linked.data.gov.au/dataset/asgsed3/MB/80000030000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000040000,Parkland,0,No change,80105104903,801051049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.1511,http://linked.data.gov.au/dataset/asgsed3/MB/80000040000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000051000,Education,0,No change,80105104901,801051049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.4262,http://linked.data.gov.au/dataset/asgsed3/MB/80000051000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000052000,Education,0,No change,80105104901,801051049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.1369,http://linked.data.gov.au/dataset/asgsed3/MB/80000052000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000060000,Commercial,0,No change,80105104902,801051049,Acton,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.4618,http://linked.data.gov.au/dataset/asgsed3/MB/80000060000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000070000,Water,0,No change,80106106601,801061066,Lake Burley Griffin,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.3264,http://linked.data.gov.au/dataset/asgsed3/MB/80000070000,89399,Unincorporated ACT,80017,Acton (ACT),2601,2601
80000080000,Parkland,0,No change,80105105013,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0391,http://linked.data.gov.au/dataset/asgsed3/MB/80000080000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
80000090000,Residential,0,No change,80105105008,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0399,http://linked.data.gov.au/dataset/asgsed3/MB/80000090000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
80000100000,Parkland,0,No change,80105105016,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0055,http://linked.data.gov.au/dataset/asgsed3/MB/80000100000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
80000110000,Residential,0,No change,80105105018,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0446,http://linked.data.gov.au/dataset/asgsed3/MB/80000110000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
80000130000,Residential,0,No change,80105105006,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0375,http://linked.data.gov.au/dataset/asgsed3/MB/80000130000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
80000140000,Parkland,0,No change,80105105018,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.0205,http://linked.data.gov.au/dataset/asgsed3/MB/80000140000,89399,Unincorporated ACT,80018,Ainslie,2602,2602
