,ILOC_CODE_2021,ILOC_NAME_2021,IARE_CODE_2021,IARE_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
0,10100101,Bogan,101001,Bogan,101,Dubbo,1,New South Wales,AUS,Australia,14999.2903,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100101
1,10100201,Dubbo - East,101002,Dubbo,101,Dubbo,1,New South Wales,AUS,Australia,24.6351,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100201
2,10100202,Dubbo - North,101002,Dubbo,101,Dubbo,1,New South Wales,AUS,Australia,22.6494,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100202
3,10100203,Dubbo - South,101002,Dubbo,101,Dubbo,1,New South Wales,AUS,Australia,6.7415,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100203
4,10100204,Dubbo - Surrounds,101002,Dubbo,101,Dubbo,1,New South Wales,AUS,Australia,3734.9198,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100204
5,10100205,Dubbo - West,101002,Dubbo,101,Dubbo,1,New South Wales,AUS,Australia,14.1141,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100205
6,10100301,Gilgandra,101003,Gilgandra,101,Dubbo,1,New South Wales,AUS,Australia,4442.6569,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100301
7,10100401,Narromine,101004,Narromine,101,Dubbo,1,New South Wales,AUS,Australia,13.455,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100401
8,10100402,Narromine - Surrounds,101004,Narromine,101,Dubbo,1,New South Wales,AUS,Australia,5940.8219,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100402
9,10100403,Trangie,101004,Narromine,101,Dubbo,1,New South Wales,AUS,Australia,1.9766,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100403
10,10100501,Parkes,101005,Parkes,101,Dubbo,1,New South Wales,AUS,Australia,17.0228,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100501
11,10100502,Parkes - Surrounds,101005,Parkes,101,Dubbo,1,New South Wales,AUS,Australia,5632.254,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100502
12,10100503,Peak Hill,101005,Parkes,101,Dubbo,1,New South Wales,AUS,Australia,3.6436,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100503
13,10100601,Warren,101006,Warren,101,Dubbo,1,New South Wales,AUS,Australia,9681.2509,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100601
14,10100701,Coonabarabran,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,AUS,Australia,11.0219,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100701
15,10100702,Coonabarabran - Surrounds,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,AUS,Australia,10463.1112,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100702
16,10100801,Wellington,101008,Wellington,101,Dubbo,1,New South Wales,AUS,Australia,9.3292,http://linked.data.gov.au/dataset/asgsed3/ILOC/10100801
