,IREG_CODE_2021,IREG_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
0,101,Dubbo,1,New South Wales,AUS,Australia,59121.071,http://linked.data.gov.au/dataset/asgsed3/IREG/101
1,102,North-Eastern NSW,1,New South Wales,AUS,Australia,110612.3167,http://linked.data.gov.au/dataset/asgsed3/IREG/102
2,103,North-Western NSW,1,New South Wales,AUS,Australia,285887.4955,http://linked.data.gov.au/dataset/asgsed3/IREG/103
3,104,NSW Central and North Coast,1,New South Wales,AUS,Australia,54906.7504,http://linked.data.gov.au/dataset/asgsed3/IREG/104
4,105,Riverina - Orange,1,New South Wales,AUS,Australia,223988.177,http://linked.data.gov.au/dataset/asgsed3/IREG/105
5,106,South-Eastern NSW,1,New South Wales,AUS,Australia,54782.9815,http://linked.data.gov.au/dataset/asgsed3/IREG/106
6,107,Sydney - Wollongong,1,New South Wales,AUS,Australia,11498.867,http://linked.data.gov.au/dataset/asgsed3/IREG/107
7,194,No usual address (NSW),1,New South Wales,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/194
8,197,Migratory - Offshore - Shipping (NSW),1,New South Wales,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/197
9,201,Melbourne,2,Victoria,AUS,Australia,8833.2243,http://linked.data.gov.au/dataset/asgsed3/IREG/201
10,202,Victoria exc. Melbourne,2,Victoria,AUS,Australia,218663.0236,http://linked.data.gov.au/dataset/asgsed3/IREG/202
11,294,No usual address (Vic.),2,Victoria,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/294
12,297,Migratory - Offshore - Shipping (Vic.),2,Victoria,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/297
13,301,Brisbane,3,Queensland,AUS,Australia,22315.8919,http://linked.data.gov.au/dataset/asgsed3/IREG/301
14,303,Cape York,3,Queensland,AUS,Australia,128897.0344,http://linked.data.gov.au/dataset/asgsed3/IREG/303
15,304,Mount Isa,3,Queensland,AUS,Australia,448743.2177,http://linked.data.gov.au/dataset/asgsed3/IREG/304
16,305,Rockhampton,3,Queensland,AUS,Australia,333893.5131,http://linked.data.gov.au/dataset/asgsed3/IREG/305
17,306,Toowoomba - Roma,3,Queensland,AUS,Australia,473754.0047,http://linked.data.gov.au/dataset/asgsed3/IREG/306
18,307,Torres Strait,3,Queensland,AUS,Australia,879.1507,http://linked.data.gov.au/dataset/asgsed3/IREG/307
19,309,Cairns - Atherton,3,Queensland,AUS,Australia,142439.3558,http://linked.data.gov.au/dataset/asgsed3/IREG/309
20,310,Townsville - Mackay,3,Queensland,AUS,Australia,179249.0525,http://linked.data.gov.au/dataset/asgsed3/IREG/310
21,394,No usual address (Qld),3,Queensland,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/394
22,397,Migratory - Offshore - Shipping (Qld),3,Queensland,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/397
23,401,Adelaide,4,South Australia,AUS,Australia,85301.2117,http://linked.data.gov.au/dataset/asgsed3/IREG/401
24,402,Port Augusta,4,South Australia,AUS,Australia,668589.6314,http://linked.data.gov.au/dataset/asgsed3/IREG/402
25,403,Port Lincoln - Ceduna,4,South Australia,AUS,Australia,230340.5771,http://linked.data.gov.au/dataset/asgsed3/IREG/403
26,494,No usual address (SA),4,South Australia,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/494
27,497,Migratory - Offshore - Shipping (SA),4,South Australia,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/497
28,501,Broome,5,Western Australia,AUS,Australia,55393.548,http://linked.data.gov.au/dataset/asgsed3/IREG/501
29,502,Geraldton,5,Western Australia,AUS,Australia,414083.5446,http://linked.data.gov.au/dataset/asgsed3/IREG/502
30,503,Kalgoorlie,5,Western Australia,AUS,Australia,951482.769,http://linked.data.gov.au/dataset/asgsed3/IREG/503
31,504,Kununurra,5,Western Australia,AUS,Australia,253052.6246,http://linked.data.gov.au/dataset/asgsed3/IREG/504
32,505,Perth,5,Western Australia,AUS,Australia,5383.7092,http://linked.data.gov.au/dataset/asgsed3/IREG/505
33,506,South Hedland,5,Western Australia,AUS,Australia,513256.5641,http://linked.data.gov.au/dataset/asgsed3/IREG/506
34,507,South-Western WA,5,Western Australia,AUS,Australia,223180.8074,http://linked.data.gov.au/dataset/asgsed3/IREG/507
35,508,West Kimberley,5,Western Australia,AUS,Australia,110798.9156,http://linked.data.gov.au/dataset/asgsed3/IREG/508
36,594,No usual address (WA),5,Western Australia,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/594
37,597,Migratory - Offshore - Shipping (WA),5,Western Australia,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/597
38,601,Tasmania,6,Tasmania,AUS,Australia,68017.5393,http://linked.data.gov.au/dataset/asgsed3/IREG/601
39,694,No usual address (Tas.),6,Tasmania,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/694
40,697,Migratory - Offshore - Shipping (Tas.),6,Tasmania,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/697
41,703,Darwin,7,Northern Territory,AUS,Australia,10990.3806,http://linked.data.gov.au/dataset/asgsed3/IREG/703
42,704,Jabiru - Tiwi,7,Northern Territory,AUS,Australia,104472.1761,http://linked.data.gov.au/dataset/asgsed3/IREG/704
43,705,Katherine,7,Northern Territory,AUS,Australia,321835.2135,http://linked.data.gov.au/dataset/asgsed3/IREG/705
44,706,Nhulunbuy,7,Northern Territory,AUS,Australia,38025.1366,http://linked.data.gov.au/dataset/asgsed3/IREG/706
45,707,Tennant Creek,7,Northern Territory,AUS,Australia,303211.1804,http://linked.data.gov.au/dataset/asgsed3/IREG/707
46,708,Alice Springs,7,Northern Territory,AUS,Australia,327.7132,http://linked.data.gov.au/dataset/asgsed3/IREG/708
47,709,Apatula,7,Northern Territory,AUS,Australia,569272.6927,http://linked.data.gov.au/dataset/asgsed3/IREG/709
48,794,No usual address (NT),7,Northern Territory,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/794
49,797,Migratory - Offshore - Shipping (NT),7,Northern Territory,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/797
50,801,ACT,8,Australian Capital Territory,AUS,Australia,2358.133,http://linked.data.gov.au/dataset/asgsed3/IREG/801
51,894,No usual address (ACT),8,Australian Capital Territory,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/894
52,897,Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/897
53,901,Christmas - Cocos (Keeling) Is.,9,Other Territories,AUS,Australia,149.8614,http://linked.data.gov.au/dataset/asgsed3/IREG/901
54,902,Jervis Bay,9,Other Territories,AUS,Australia,67.2296,http://linked.data.gov.au/dataset/asgsed3/IREG/902
55,903,Norfolk Island,9,Other Territories,AUS,Australia,38.651,http://linked.data.gov.au/dataset/asgsed3/IREG/903
56,994,No usual address (OT),9,Other Territories,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/994
57,997,Migratory - Offshore - Shipping (OT),9,Other Territories,AUS,Australia,,http://linked.data.gov.au/dataset/asgsed3/IREG/997
