,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM_2016,SUA_CODE_2021,SUA_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
0,1000.0,Not in any Significant Urban Area (NSW),787692.8137,1000.0,Not in any Significant Urban Area (NSW),786334.6808,
1,1001.0,Albury - Wodonga,628.2471,1001.0,Albury - Wodonga,628.2525,
2,1002.0,Armidale,274.5995,1002.0,Armidale,274.5996,
3,1003.0,Ballina,73.9758,1003.0,Ballina,480.5548,
4,1004.0,Batemans Bay,94.3022,1004.0,Batemans Bay,94.3021,
5,1005.0,Bathurst,213.5389,1005.0,Bathurst,213.5388,
6,1006.0,Bowral - Mittagong,421.819,1006.0,Bowral - Mittagong,421.8192,
7,1007.0,Broken Hill,170.1153,1007.0,Broken Hill,170.1153,
8,,,,1008.0,Byron Bay,39.7771,New
9,1008.0,Camden Haven,524.9065,1009.0,Camden Haven,524.9062,
10,1009.0,Central Coast,566.355,1010.0,Central Coast,1334.2426,
11,1010.0,Coffs Harbour,505.523,1011.0,Coffs Harbour,505.5228,
12,1011.0,Dubbo,182.5607,1012.0,Dubbo,182.5608,
13,1012.0,Forster - Tuncurry,49.5428,1013.0,Forster - Tuncurry,49.5428,
14,1013.0,Goulburn,64.7865,1014.0,Goulburn,64.7865,
15,1014.0,Grafton,106.2537,1015.0,Grafton,106.2537,
16,1015.0,Griffith,56.333,1016.0,Griffith,56.3332,
17,1016.0,Kempsey,195.1562,1017.0,Kempsey,195.1561,
18,1017.0,Lismore,88.5367,1018.0,Lismore,88.5366,
19,1018.0,Lithgow,119.9844,1019.0,Lithgow,119.9844,
20,,,,1020.0,Medowie,365.182,New
21,1019.0,Morisset - Cooranbong,340.6801,1021.0,Morisset - Cooranbong,340.68,
22,1020.0,Mudgee,65.8948,1022.0,Mudgee,65.8949,
23,1021.0,Muswellbrook,262.3964,1023.0,Muswellbrook,262.3964,
24,1022.0,Nelson Bay,115.5262,1024.0,Nelson Bay,115.5262,
25,1023.0,Newcastle - Maitland,1179.1309,1025.0,Newcastle - Maitland,1179.1011,
26,1024.0,Nowra - Bomaderry,201.4116,1026.0,Nowra - Bomaderry,201.4117,
27,1025.0,Orange,144.7617,1027.0,Orange,144.7618,
28,1027.0,Port Macquarie,96.2549,1028.0,Port Macquarie,96.2548,
29,1028.0,Singleton,127.2317,1029.0,Singleton,127.2317,
30,1029.0,St Georges Basin - Sanctuary Point,107.9469,1030.0,St Georges Basin - Sanctuary Point,107.8711,
31,1030.0,Sydney,4196.2813,1031.0,Sydney,4196.8372,
32,1031.0,Tamworth,240.745,1032.0,Tamworth,240.7449,
33,1032.0,Taree,186.6494,1033.0,Taree,186.6495,
34,1033.0,Ulladulla,46.7766,1034.0,Ulladulla,46.7765,
35,1034.0,Wagga Wagga,192.0954,1035.0,Wagga Wagga,192.0954,
36,1035.0,Wollongong,572.3157,1036.0,Wollongong,572.6371,
37,2000.0,Not in any Significant Urban Area (Vic.),215596.6237,2000.0,Not in any Significant Urban Area (Vic.),214524.8145,
38,2001.0,Bacchus Marsh,196.2984,2001.0,Bacchus Marsh,196.2983,
39,2002.0,Bairnsdale,155.0115,2002.0,Bairnsdale,155.0115,
40,2003.0,Ballarat,343.6213,2003.0,Ballarat,343.6213,
41,2004.0,Bendigo,287.4438,2004.0,Bendigo,287.4437,
42,,,,2005.0,Castlemaine,83.9291,New
43,2005.0,Colac,54.7344,2006.0,Colac,54.7344,
44,2006.0,Echuca - Moama,350.9191,2007.0,Echuca - Moama,350.96,
45,2007.0,Geelong,1329.0137,2008.0,Geelong,1329.0133,
46,2008.0,Gisborne - Macedon,367.3974,2009.0,Gisborne,367.3975,Name Change
47,2009.0,Horsham,83.0691,2010.0,Horsham,83.0691,
48,2010.0,Melbourne,6189.1069,2011.0,Melbourne,7100.1467,
49,2011.0,Melton,265.8685,2011.0,Melbourne,7100.1467,Amalgamated
50,2012.0,Mildura - Wentworth,588.8628,2012.0,Mildura - Buronga,588.8581,Name Change
51,2013.0,Moe - Newborough,105.2835,2013.0,Moe - Newborough,447.9855,
52,2014.0,Portland,63.985,2014.0,Portland,63.985,
53,2015.0,Sale,45.6023,2015.0,Sale,45.6023,
54,2016.0,Shepparton - Mooroopna,248.9055,2016.0,Shepparton - Mooroopna,248.9055,
55,2017.0,Swan Hill,126.581,2017.0,Swan Hill,126.5903,
56,2018.0,Traralgon - Morwell,235.159,2018.0,Traralgon - Morwell,235.1589,
57,2019.0,Wangaratta,57.5835,2019.0,Wangaratta,57.5836,
58,2020.0,Warragul - Drouin,678.9851,2020.0,Warragul - Drouin,678.9851,
59,2021.0,Warrnambool,182.6157,2021.0,Warrnambool,182.6156,
60,3000.0,Not in any Significant Urban Area (Qld),1718420.512,3000.0,Not in any Significant Urban Area (Qld),1716660.6473,
61,,,,3001.0,Airlie Beach - Cannonvale,304.0917,New
62,3001.0,Brisbane,5326.737,3002.0,Brisbane,6462.4053,
63,3002.0,Bundaberg,305.1459,3003.0,Bundaberg,305.2318,
64,3003.0,Cairns,254.052,3004.0,Cairns,254.0618,
65,3004.0,Emerald,38.9821,3005.0,Emerald,38.982,
66,3005.0,Gladstone - Tannum Sands,246.0825,3006.0,Gladstone,246.0825,Name Change
67,3006.0,Gold Coast - Tweed Heads,1405.0353,3007.0,Gold Coast - Tweed Heads,1251.2748,
68,3007.0,Gympie,69.4616,3008.0,Gympie,69.4615,
69,3008.0,Hervey Bay,93.2159,3009.0,Hervey Bay,93.2156,
70,3009.0,Kingaroy,70.1948,3010.0,Kingaroy,70.1948,
71,3010.0,Mackay,212.4279,3011.0,Mackay,212.4281,
72,3011.0,Maryborough,170.6247,3012.0,Maryborough,170.6247,
73,3012.0,Mount Isa,62.8098,3013.0,Mount Isa,68.6964,
74,3013.0,Rockhampton,579.6438,3014.0,Rockhampton,579.6439,
75,3014.0,Sunshine Coast,1633.1041,3015.0,Sunshine Coast,2100.2723,
76,3015.0,Toowoomba,728.5994,3016.0,Toowoomba,728.5991,
77,3016.0,Townsville,693.2851,3017.0,Townsville,693.2853,
78,3017.0,Warwick,158.7232,3018.0,Warwick,158.7231,
79,3018.0,Yeppoon,78.5555,3019.0,Yeppoon,78.5558,
80,4000.0,Not in any Significant Urban Area (SA),980922.4039,4000.0,Not in any Significant Urban Area (SA),980878.8478,
81,4001.0,Adelaide,2246.1885,4001.0,Adelaide,2246.2567,
82,4002.0,Mount Gambier,193.2878,4002.0,Mount Gambier,193.2878,
83,4003.0,Murray Bridge,97.5456,4003.0,Murray Bridge,97.5456,
84,4004.0,Port Augusta,253.9026,4004.0,Port Augusta,253.9025,
85,4005.0,Port Lincoln,136.283,4005.0,Port Lincoln,136.2831,
86,4006.0,Port Pirie,75.2928,4006.0,Port Pirie,75.2928,
87,4007.0,Victor Harbor - Goolwa,309.1331,4007.0,Victor Harbor - Goolwa,309.1333,
88,4008.0,Whyalla,40.8707,4008.0,Whyalla,40.8706,
89,5000.0,Not in any Significant Urban Area (WA),2519967.158,5000.0,Not in any Significant Urban Area (WA),2519666.1473,
90,5001.0,Albany,299.2415,5001.0,Albany,299.3989,
91,5002.0,Broome,50.0425,5002.0,Broome,50.0425,
92,5003.0,Bunbury,222.7002,5003.0,Bunbury,222.7003,
93,5004.0,Busselton,1423.3036,5004.0,Busselton,1423.304,
94,5005.0,Esperance,479.8669,5005.0,Esperance,479.8669,
95,5006.0,Geraldton,272.1605,5006.0,Geraldton,272.1604,
96,5007.0,Kalgoorlie - Boulder,75.0977,5007.0,Kalgoorlie - Boulder,75.0977,
97,5008.0,Karratha,134.2041,5008.0,Karratha,134.2041,
98,5009.0,Perth,3531.8953,5009.0,Perth,3893.1281,
99,5010.0,Port Hedland,116.4323,5010.0,Port Hedland,116.4323,
100,5011.0,Yanchep,74.1366,5009.0,Perth,3893.1281,Amalgamated
101,6000.0,Not in any Significant Urban Area (Tas.),65882.2117,6000.0,Not in any Significant Urban Area (Tas.),65881.8887,
102,6001.0,Burnie - Wynyard,130.5135,6001.0,Burnie - Somerset,130.5134,Name Change
103,6002.0,Devonport,290.5021,6002.0,Devonport,290.5023,
104,6003.0,Hobart,1149.2719,6003.0,Hobart,1149.2735,
105,6004.0,Launceston,435.4108,6004.0,Launceston,435.4107,
106,6005.0,Ulverstone,129.9507,6005.0,Ulverstone,129.9507,
107,7000.0,Not in any Significant Urban Area (NT),1347392.18,7000.0,Not in any Significant Urban Area (NT),1347428.7408,
108,7001.0,Alice Springs,327.7133,7001.0,Alice Springs,327.7132,
109,7002.0,Darwin,374.4346,7002.0,Darwin,378.0391,
110,8000.0,Not in any Significant Urban Area (ACT),1897.2559,8000.0,Not in any Significant Urban Area (ACT),1879.4621,
111,8001.0,Canberra - Queanbeyan,499.3443,8001.0,Canberra - Queanbeyan,517.0934,
112,9000.0,Not in any Significant Urban Area (OT),256.3162,9000.0,Not in any Significant Urban Area (OT),255.742,
113,1026.0,Parkes,234.7556,,,,Removed
