SA2_CODE_2021,SA2_NAME_2021,TR_CODE_2021,TR_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
101041025,Merimbula - Tura Beach,1R010,South Coast,1,New South Wales,AUS,Australia,97.3395,http://linked.data.gov.au/dataset/asgsed3/SA2/101041025
101041026,Moruya - Tuross Head,1R010,South Coast,1,New South Wales,AUS,Australia,165.4118,http://linked.data.gov.au/dataset/asgsed3/SA2/101041026
101041027,Narooma - Bermagui,1R010,South Coast,1,New South Wales,AUS,Australia,252.652,http://linked.data.gov.au/dataset/asgsed3/SA2/101041027
107041548,Wollongong - East,1R010,South Coast,1,New South Wales,AUS,Australia,5.5039,http://linked.data.gov.au/dataset/asgsed3/SA2/107041548
107041549,Wollongong - West,1R010,South Coast,1,New South Wales,AUS,Australia,5.6592,http://linked.data.gov.au/dataset/asgsed3/SA2/107041549
101041024,Eurobodalla Hinterland,1R010,South Coast,1,New South Wales,AUS,Australia,1460.0118,http://linked.data.gov.au/dataset/asgsed3/SA2/101041024
114011272,Berry - Kangaroo Valley,1R010,South Coast,1,New South Wales,AUS,Australia,537.0884,http://linked.data.gov.au/dataset/asgsed3/SA2/114011272
114011273,Callala Bay - Currarong,1R010,South Coast,1,New South Wales,AUS,Australia,166.9089,http://linked.data.gov.au/dataset/asgsed3/SA2/114011273
114011274,Culburra Beach,1R010,South Coast,1,New South Wales,AUS,Australia,76.4017,http://linked.data.gov.au/dataset/asgsed3/SA2/114011274
114011275,Ettrema - Sassafras - Budawang,1R010,South Coast,1,New South Wales,AUS,Australia,2144.4618,http://linked.data.gov.au/dataset/asgsed3/SA2/114011275
114011276,Huskisson - Vincentia,1R010,South Coast,1,New South Wales,AUS,Australia,31.0117,http://linked.data.gov.au/dataset/asgsed3/SA2/114011276
114011277,North Nowra - Bomaderry,1R010,South Coast,1,New South Wales,AUS,Australia,99.7318,http://linked.data.gov.au/dataset/asgsed3/SA2/114011277
