,UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
0,101001,Sydney,101.0,1 million or more,10.0,Major Urban,2179.1222,101001.0,Sydney,101.0,1 million or more,10.0,Major Urban,2194.1731,
1,102001,Canberra - Queanbeyan (Queanbeyan Part),102.0,"250,000 to 999,999",10.0,Major Urban,28.7924,102001.0,Canberra - Queanbeyan (Queanbeyan Part),102.0,"250,000 to 999,999",10.0,Major Urban,28.7867,
2,102002,Central Coast,102.0,"250,000 to 999,999",10.0,Major Urban,334.1964,102002.0,Central Coast,102.0,"250,000 to 999,999",10.0,Major Urban,332.9065,
3,102003,Gold Coast - Tweed Heads (Tweed Heads Part),102.0,"250,000 to 999,999",10.0,Major Urban,68.0195,102003.0,Gold Coast - Tweed Heads (Tweed Heads Part),102.0,"250,000 to 999,999",10.0,Major Urban,67.678,
4,102004,Newcastle,102.0,"250,000 to 999,999",10.0,Major Urban,295.8352,102004.0,Newcastle,102.0,"250,000 to 999,999",10.0,Major Urban,296.9898,
5,102005,Wollongong,102.0,"250,000 to 999,999",10.0,Major Urban,237.0025,102005.0,Wollongong,102.0,"250,000 to 999,999",10.0,Major Urban,224.4836,
6,111001,Albury - Wodonga (Albury Part),111.0,"50,000 to 99,999",11.0,Other Urban,64.0705,111001.0,Albury - Wodonga (Albury Part),111.0,"50,000 to 99,999",11.0,Other Urban,74.9112,
7,112006,Coffs Harbour,112.0,"20,000 to 49,999",11.0,Other Urban,77.9672,111002.0,Coffs Harbour,111.0,"50,000 to 99,999",11.0,Other Urban,77.9672,
8,111002,Maitland (NSW),111.0,"50,000 to 99,999",11.0,Other Urban,145.4357,111003.0,Maitland (NSW),111.0,"50,000 to 99,999",11.0,Other Urban,122.9001,
9,112001,Armidale,112.0,"20,000 to 49,999",11.0,Other Urban,31.0074,112001.0,Armidale,112.0,"20,000 to 49,999",11.0,Other Urban,30.2163,
10,112002,Bathurst,112.0,"20,000 to 49,999",11.0,Other Urban,53.1174,112002.0,Bathurst,112.0,"20,000 to 49,999",11.0,Other Urban,54.5543,
11,112003,Blue Mountains,112.0,"20,000 to 49,999",11.0,Other Urban,79.1763,112003.0,Blue Mountains,112.0,"20,000 to 49,999",11.0,Other Urban,79.1763,
12,112004,Bowral - Mittagong,112.0,"20,000 to 49,999",11.0,Other Urban,59.7576,112004.0,Bowral - Mittagong,112.0,"20,000 to 49,999",11.0,Other Urban,55.9023,
13,112005,Cessnock,112.0,"20,000 to 49,999",11.0,Other Urban,27.1885,112005.0,Cessnock,112.0,"20,000 to 49,999",11.0,Other Urban,21.7753,
14,112007,Dubbo,112.0,"20,000 to 49,999",11.0,Other Urban,85.7615,112006.0,Dubbo,112.0,"20,000 to 49,999",11.0,Other Urban,85.7616,
15,113004,Echuca - Moama (Moama Part),113.0,"10,000 to 19,999",11.0,Other Urban,27.8526,112007.0,Echuca - Moama (Moama Part),112.0,"20,000 to 49,999",11.0,Other Urban,28.019,
16,113005,Forster - Tuncurry,113.0,"10,000 to 19,999",11.0,Other Urban,32.6648,112008.0,Forster - Tuncurry,112.0,"20,000 to 49,999",11.0,Other Urban,32.6648,
17,112008,Goulburn,112.0,"20,000 to 49,999",11.0,Other Urban,55.5759,112009.0,Goulburn,112.0,"20,000 to 49,999",11.0,Other Urban,55.5759,
18,113007,Griffith,113.0,"10,000 to 19,999",11.0,Other Urban,46.0664,112010.0,Griffith,112.0,"20,000 to 49,999",11.0,Other Urban,47.93,
19,122014,Beelbangera (L),122.0,200 to 499,12.0,Bounded Locality,1.2032,112010.0,Griffith,112.0,"20,000 to 49,999",11.0,Other Urban,47.93,Amalgamated
20,113010,Kurri Kurri,113.0,"10,000 to 19,999",11.0,Other Urban,25.5547,112011.0,Kurri Kurri,112.0,"20,000 to 49,999",11.0,Other Urban,26.1116,
21,112009,Lismore,112.0,"20,000 to 49,999",11.0,Other Urban,40.251,112012.0,Lismore (NSW),112.0,"20,000 to 49,999",11.0,Other Urban,40.251,Name Change
22,112010,Mildura - Buronga (Buronga Part),112.0,"20,000 to 49,999",11.0,Other Urban,5.6456,112013.0,Mildura - Buronga (Buronga Part),112.0,"20,000 to 49,999",11.0,Other Urban,5.8912,
23,113012,Morisset - Cooranbong,113.0,"10,000 to 19,999",11.0,Other Urban,47.4696,112014.0,Morisset - Cooranbong,112.0,"20,000 to 49,999",11.0,Other Urban,43.7484,
24,112011,Nowra - Bomaderry,112.0,"20,000 to 49,999",11.0,Other Urban,37.8103,112015.0,Nowra - Bomaderry,112.0,"20,000 to 49,999",11.0,Other Urban,37.9355,
25,112012,Orange,112.0,"20,000 to 49,999",11.0,Other Urban,63.8644,112016.0,Orange,112.0,"20,000 to 49,999",11.0,Other Urban,56.8283,
26,112013,Port Macquarie,112.0,"20,000 to 49,999",11.0,Other Urban,43.6488,112017.0,Port Macquarie,112.0,"20,000 to 49,999",11.0,Other Urban,43.8921,
27,112014,Tamworth,112.0,"20,000 to 49,999",11.0,Other Urban,38.2174,112018.0,Tamworth,112.0,"20,000 to 49,999",11.0,Other Urban,38.2173,
28,112015,Wagga Wagga,112.0,"20,000 to 49,999",11.0,Other Urban,71.5314,112019.0,Wagga Wagga,112.0,"20,000 to 49,999",11.0,Other Urban,71.5314,
29,113001,Ballina,113.0,"10,000 to 19,999",11.0,Other Urban,14.206,113001.0,Ballina,113.0,"10,000 to 19,999",11.0,Other Urban,15.6931,
30,113002,Batemans Bay,113.0,"10,000 to 19,999",11.0,Other Urban,22.3826,113002.0,Batemans Bay,113.0,"10,000 to 19,999",11.0,Other Urban,22.3825,
31,113003,Broken Hill,113.0,"10,000 to 19,999",11.0,Other Urban,25.7209,113003.0,Broken Hill,113.0,"10,000 to 19,999",11.0,Other Urban,25.7209,
32,114003,Byron Bay,114.0,"5,000 to 9,999",11.0,Other Urban,21.8577,113004.0,Byron Bay,113.0,"10,000 to 19,999",11.0,Other Urban,21.8576,
33,113006,Grafton,113.0,"10,000 to 19,999",11.0,Other Urban,42.1678,113005.0,Grafton,113.0,"10,000 to 19,999",11.0,Other Urban,42.1678,
34,113008,Kempsey,113.0,"10,000 to 19,999",11.0,Other Urban,55.8197,113006.0,Kempsey,113.0,"10,000 to 19,999",11.0,Other Urban,47.0402,
35,113009,Kiama,113.0,"10,000 to 19,999",11.0,Other Urban,12.873,113007.0,Kiama,113.0,"10,000 to 19,999",11.0,Other Urban,13.0378,
36,113011,Lithgow,113.0,"10,000 to 19,999",11.0,Other Urban,24.1517,113008.0,Lithgow,113.0,"10,000 to 19,999",11.0,Other Urban,24.1517,
