DZN_CODE_2021,AREA_ALBERS_SQKM,SA2_CODE_2021
110078098,1539.8516,101021007
110078099,234.6163,101021007
110078100,1643.8846,101021007
110088084,6.9825,101021008
110090001,1.9582,101021009
110090002,1.6713,101021009
110090003,1.1325,101021009
110108087,13.0032,101021010
110120001,9.12,101021012
110120002,4.5548,101021012
110138120,1566.6523,101031013
110138121,5.1846,101031013
110138122,1482.179,101031013
110138123,936.1281,101031013
110148117,103.6371,101031014
110158114,2363.4734,101031015
110158115,1568.6607,101031015
110158116,2318.8817,101031015
110168103,6.0898,101031016
110168104,680.3042,101031016
110168105,20.9536,101031016
110168106,337.1413,101031016
110168107,2.2642,101031016
110168108,1597.2608,101031016
110168109,1295.7749,101031016
110178126,63.7073,101041017
110188129,30.5948,101041018
110198157,50.4649,101041019
110198158,6.3501,101041019
110198159,127.0834,101041019
110200001,2509.5595,101041020
110208162,146.2281,101041020
110208163,579.0421,101041020
110208164,354.9938,101041020
110208165,988.4077,101041020
110208166,131.5953,101041020
110218132,24.2329,101041021
110228147,2781.9988,101041022
110238175,94.8138,101041023
110248141,5.1668,101041024
110248142,57.8599,101041024
110248143,1155.5929,101041024
110248144,241.3922,101041024
110258171,54.5278,101041025
110258172,42.8117,101041025
110268135,38.8751,101041026
110268136,40.6238,101041026
110268137,83.1353,101041026
110268138,2.7776,101041026
110278150,7.153,101041027
110278151,3.3412,101041027
110278152,167.953,101041027
110278153,64.9825,101041027
110278154,9.2223,101041027
110286283,1.9958,102011028
110286284,4.4418,102011028
110296249,7.1794,102011029
110296250,13.6391,102011029
110296251,7.1332,102011029
110296252,3.5875,102011029
110296253,0.541,102011029
110300001,89.2522,102011030
110306039,66.7168,102011030
110306040,43.0689,102011030
110306041,217.3045,102011030
110306042,35.8198,102011030
110306044,315.789,102011030
110316200,6.2693,102011031
110316201,2.5763,102011031
110316202,1.1137,102011031
110316203,3.8292,102011031
110316204,1.3073,102011031
110316205,9.6741,102011031
110316206,9.0235,102011031
110320001,1.3254,102011032
110320002,1.1546,102011032
110326132,5.3943,102011032
110326133,0.5911,102011032
110326134,1.5732,102011032
110326135,1.0273,102011032
110326136,2.7638,102011032
110326137,1.3133,102011032
110326138,1.7693,102011032
110336058,6.2562,102011033
110336059,2.0501,102011033
110346234,5.9786,102011034
110346235,2.5046,102011034
110346236,3.2337,102011034
110350001,4.6509,102011035
110350002,2.2894,102011035
110350003,0.7618,102011035
110366085,6.9352,102011036
110366086,3.7506,102011036
110366087,4.0206,102011036
110366088,2.0252,102011036
110376116,3.4435,102011037
110376117,1.2536,102011037
110376118,2.0823,102011037
110386186,1.6104,102011038
110386187,3.1579,102011038
110396266,2.6764,102011039
110396267,2.1586,102011039
110396269,1.0552,102011039
110396270,2.5317,102011039
110396271,2.0572,102011039
110406167,17.8021,102011040
110406168,1.2497,102011040
110406169,0.9353,102011040
110406170,1.2941,102011040
110406171,0.9884,102011040
110406172,1.4209,102011040
110406173,1.538,102011040
110416219,3.5131,102011041
110416220,3.8207,102011041
110416221,6.3883,102011041
110426151,12.9439,102011042
110426152,1.5021,102011042
110426153,1.5695,102011042
110426154,1.3808,102011042
110436101,4.1191,102011043
110436102,2.1254,102011043
110436103,2.1365,102011043
110446472,1.9712,102021044
110446473,1.9867,102021044
110446474,1.2404,102021044
110446475,1.257,102021044
110446476,1.0787,102021044
110446477,1.2136,102021044
110446478,0.8892,102021044
110446479,1.2227,102021044
110450001,16.1735,102021045
110450002,2.2815,102021045
110456412,2.5245,102021045
110466457,5.8383,102021046
110466458,2.0942,102021046
110466459,1.3972,102021046
110476425,13.9145,102021047
110476426,1.4133,102021047
110476427,4.662,102021047
110476428,0.7763,102021047
110476429,3.7325,102021047
110486393,3.9875,102021048
110486394,1.3862,102021048
110486395,0.8567,102021048
110486396,1.389,102021048
110486397,1.5073,102021048
110486398,2.1223,102021048
110496297,157.5843,102021049
110496298,189.1819,102021049
110506442,2.9218,102021050
110506443,18.1863,102021050
110506444,14.3865,102021050
110516311,6.7368,102021051
110516312,7.5513,102021051
110516313,92.0552,102021051
110516314,7.7739,102021051
110526380,9.1793,102021052
110536492,2.073,102021053
110536493,1.3611,102021053
