IARE_CODE_2021,IARE_NAME_2021,AREA_ALBERS_SQKM,IREG_CODE_2021
101001,Bogan,14999.2903,101
101002,Dubbo,3803.0599,101
101003,Gilgandra,4442.6569,101
101004,Narromine,5956.2535,101
101005,Parkes,5652.9204,101
101006,Warren,9681.2509,101
101007,Warrumbungle Shire,10474.1331,101
101008,Wellington,4111.506,101
102001,Armidale,3760.1185,102
102002,Glen Innes,5479.977,102
102003,Gunnedah,4941.2885,102
102004,Guyra - Tingha,4678.1898,102
102005,Inverell - Gwydir,17435.5101,102
102006,Liverpool Plains,5077.8424,102
102007,Moree,39.301,102
102008,Moree Plains,18283.9055,102
102009,Muswellbrook,3404.8841,102
102010,Narrabri,13060.7347,102
102011,Tamworth,9221.229,102
102012,Tenterfield - Jubullum Village,7324.3072,102
102013,Upper Hunter,8067.5327,102
102014,Uralla - Walcha,9837.4962,102
103001,Bourke,42028.1758,103
103002,Brewarrina,18511.7678,103
103003,Cobar - Murrin Bridge,45551.398,103
103004,Coonamble,9628.5955,103
103005,Far West,146854.847,103
103006,Walgett,23312.7114,103
104001,Ballina - Bagotville,480.5548,104
104002,Byron,568.1142,104
104003,Cessnock,1968.208,104
104004,Clarence Valley,10456.0902,104
104005,Coffs Harbour - Nambucca,4244.6096,104
104006,Gloucester - Dungog,5183.8659,104
104007,Gosford,941.2166,104
104008,Great Lakes,3337.361,104
104009,Kempsey,3868.3825,104
104010,Kyogle,3551.7672,104
104012,Lismore,1302.4913,104
104013,Maitland,388.5306,104
104014,Newcastle,188.7116,104
104015,Port Macquarie - Hastings,3687.7694,104
104016,Port Stephens,894.4919,104
104017,Richmond Valley,3060.6073,104
104018,Singleton,4348.5749,104
104019,Taree,3741.2006,104
104020,Tweed,1307.7853,104
104022,Lake Macquarie,592.9006,104
104023,Wyong,793.5169,104
105001,Albury,353.5473,105
105002,Balranald - Wentworth,49750.7498,105
105003,Bathurst,3809.6,105
105004,Blayney - Cabonne,6735.0681,105
105005,Carrathool - Murrumbidgee,20437.2627,105
105006,Central Murray,33818.6148,105
105007,Coolamon - Temora - West Wyalong,16807.2401,105
105008,Cootamundra,1656.1222,105
105009,Cowra,2897.876,105
105010,Deniliquin - Murray,4486.0315,105
105011,Forbes,4227.7726,105
105012,Griffith - Leeton,2761.3371,105
105013,Gundagai - Junee - Harden,6252.0815,105
105014,Lachlan,15858.8502,105
105015,Lithgow - Oberon,8257.3647,105
105016,Mudgee,10961.8425,105
105017,Narrandera,3809.1326,105
105018,Orange,284.2159,105
105019,Tumut,4654.0518,105
105020,Upper Murray,18640.9476,105
105021,Wagga Wagga,4884.5837,105
105022,Young,2643.8843,105
106001,Bega Valley,7942.0818,106
106002,Eurobodalla,1922.4058,106
106003,Shoalhaven,4374.9473,106
106004,Snowy - Monaro,20661.6093,106
106005,Southern Tablelands,19881.9373,106
107001,Auburn,32.4768,107
107002,Baulkham Hills,400.4136,107
107003,Blacktown,240.1335,107
107004,Blue Mountains,942.4079,107
107005,Botany Bay,16.6527,107
107006,Camden,206.0613,107
107007,Campbelltown,334.7054,107
107008,Canterbury - Bankstown,110.7042,107
107009,Fairfield,129.2872,107
107010,Hawkesbury,2658.9641,107
107011,Holroyd,41.221,107
107012,Hornsby - Ku-ring-gai,551.6707,107
107013,Hunters Hill - Ryde,46.1915,107
107014,Hurstville - Kogarah,38.3058,107
107015,Kiama - Shellharbour,390.7982,107
107016,Leichhardt,10.6577,107
107017,Liverpool,274.596,107
107018,Lord Howe Island,16.2918,107
107019,Marrickville,16.6539,107
107020,Northern Beaches,254.2072,107
107021,Parramatta,60.3762,107
107022,Penrith,415.6188,107
107023,Randwick - La Perouse,36.331,107
107024,Rockdale,33.9677,107
107025,Sutherland Shire,296.251,107
107026,Sydney - City,26.3616,107
107027,Sydney - Inner West,48.9007,107
107028,Sydney - Lower North,52.0459,107
107029,Wollondilly,3390.8841,107
107030,Wollongong,404.1,107
107031,Woollahra - Waverley,21.6295,107
194994,No usual address (NSW),,194
197997,Migratory - Offshore - Shipping (NSW),,197
201001,Brimbank,123.3991,201
201002,Cardinia,1283.289,201
201003,Craigieburn - Sunbury,459.4733,201
201004,Cranbourne - Narre Warren,409.4287,201
201005,Frankston,220.9657,201
201006,Greater Dandenong,129.5466,201
201007,Knox,118.3018,201
201008,Maribyrnong - Moonee Valley,74.3536,201
201009,Maroondah,61.4097,201
201010,Melbourne - East,161.5688,201
201011,Melbourne - North-East,609.9052,201
201012,Melbourne - Port Phillip,77.712,201
201013,Melton,527.5374,201
201014,Monash,81.4829,201
201015,Moreland - Broadmeadows,95.3277,201
201016,Mornington Peninsula,724.1681,201
201017,Northcote - Preston - Whittlesea,543.165,201
201018,Whitehorse,64.2757,201
201019,Wyndham - Altona,606.3348,201
201020,Yarra Ranges,2461.5792,201
202001,Ballarat,1200.4105,202
202002,Baw Baw,3996.3353,202
202003,Bendigo,3281.3322,202
202004,Campaspe - Shepparton - Moira,10933.8661,202
202005,Castlemaine - Kerang,22169.681,202
202006,Geelong - Queenscliff,1256.6038,202
202007,Gippsland,31757.9811,202
202008,Latrobe,1374.6943,202
202009,Macedon Ranges - Moorabool,3845.8889,202
202010,Mildura,22081.9206,202
202011,South Gippsland - Bass Coast,4424.0986,202
202012,South-West Central Victoria,25210.68,202
202013,Southern Grampians - Glenelg,12946.3914,202
202014,Swan Hill,6067.7652,202
202015,Upper Goulburn Valley,13613.5166,202
202016,Wallan - Seymour,2737.4083,202
202017,Warrnambool,182.6156,202
202018,Wimmera,33955.3042,202
202019,Wodonga,17626.5299,202
294994,No usual address (Vic.),,294
297997,Migratory - Offshore - Shipping (Vic.),,297
301001,Beaudesert - Boonah,4251.8807,301
301002,Brisbane City,1349.6002,301
301003,Caboolture,1267.6014,301
301004,Caloundra,1039.8549,301
301005,Esk - Kilcoy,5370.6539,301
301006,Gatton - Laidley,2271.785,301
301007,Gold Coast,1333.386,301
301008,Ipswich,1078.1043,301
301009,Logan,958.1333,301
301010,Maroochy,1177.2738,301
301011,Noosa,868.7823,301
301012,Pine Rivers,773.3947,301
301013,Redcliffe,38.2742,301
301014,Redland,537.1672,301
303001,Aurukun,7423.9891,303
303002,Cape York,107605.5509,303
303003,Cooktown,24.4864,303
303004,Hope Vale,1111.7099,303
303005,Kowanyama,2555.3325,303
303006,Lockhart River,4200.782,303
303007,Mapoon - Napranum - Weipa,33.1158,303
303008,Northern Peninsula Area,1546.7024,303
303009,Pormpuraaw,4395.3654,303
304001,Boulia - Diamantina - Winton,209442.3811,304
304002,Carpentaria - Burke - Mornington,114443.5786,304
304003,Cloncurry - McKinlay,88708.0584,304
304004,Mount Isa,36149.1996,304
305001,Banana,28550.1865,305
305002,Barcaldine - Blackall - Longreach,124492.1462,305
305003,Bundaberg,6431.0889,305
305004,Central Capricorn,60225.3937,305
305005,Fraser Coast,7004.5083,305
305006,Gladstone,10484.2861,305
305007,Nebo - Clermont,58707.9192,305
305008,North Burnett,19669.8489,305
305009,Rockhampton - Yeppoon,18328.1353,305
306001,Balonne,31104.0851,306
306002,Bulloo - Quilpie - Barcoo,202966.8343,306
306003,Cherbourg,31.6002,306
306004,Cooloola - Gympie,3714.1975,306
306005,Dalby,28.0063,306
306006,Goondiwindi - Stanthorpe,21044.3161,306
306007,Jondaryan - Oakey,1844.4963,306
306008,Maranoa - Roma - Mitchell,58704.3911,306
306009,Murgon,579.8277,306
306010,Murweh,40699.7586,306
306011,Nanango - Kilkivan,4909.773,306
306012,Paroo,47614.9225,306
306013,South Burnett,6161.828,306
306014,Southern Downs,4477.8468,306
306015,Toowoomba - Central,142.3219,306
306016,Toowoomba - North,4024.562,306
306017,Toowoomba - South,6934.1341,306
306018,Western Downs,38771.1032,306
307001,Kaiwalagal - Inner Islands,330.9326,307
307002,Kalakawal - Top Western Islands,207.8099,307
307003,Kalalagal - Western Islands,296.4619,307
307004,Kulkalgal - Central Islands,32.6846,307
307005,Meriam - Eastern Islands,11.2617,307
309001,Atherton,622.4878,309
309002,Cairns,327.99,309
309003,Cairns - Far North Coast,619.2254,309
309004,Cairns - Southern Hinterlands,1750.7014,309
309005,Eacham,867.6794,309
309006,Herberton - Ravenshoe,9566.224,309
309007,Innisfail - Johnstone,1495.9266,309
309008,Kuranda - Croydon,122151.1909,309
309009,Mareeba,20.5466,309
309010,Tully - Cardwell - Jumbun,3055.5178,309
309011,Wujal Wujal and Outstations,1803.0278,309
309012,Yarrabah,158.8381,309
310001,Bowen (Qld),21144.8646,310
310002,Burdekin - Ayr,4948.4594,310
310003,Charters Towers,41.8593,310
310004,Flinders - Richmond - Dalrymple,136120.9906,310
310005,Ingham - Hinchinbrook,2807.1889,310
310006,Mackay,238.8744,310
310007,Mackay - Surrounds,2610.6357,310
310008,Mirani,3324.1403,310
310009,Palm Island,71.9928,310
310010,Proserpine - Whitsunday,2674.1083,310
310011,Sarina,1439.6459,310
310012,Thuringowa,242.2022,310
310013,Townsville,166.1413,310
310014,Townsville - Surrounds,3417.9488,310
394994,No usual address (Qld),,394
