ILOC_CODE_2021,ILOC_NAME_2021,AREA_ALBERS_SQKM,IARE_CODE_2021
10100101,Bogan,14999.2903,101001
10100201,Dubbo - East,24.6351,101002
10100202,Dubbo - North,22.6494,101002
10100203,Dubbo - South,6.7415,101002
10100204,Dubbo - Surrounds,3734.9198,101002
10100205,Dubbo - West,14.1141,101002
10100301,Gilgandra,4442.6569,101003
10100401,Narromine,13.455,101004
10100402,Narromine - Surrounds,5940.8219,101004
10100403,Trangie,1.9766,101004
10100501,Parkes,17.0228,101005
10100502,Parkes - Surrounds,5632.254,101005
10100503,Peak Hill,3.6436,101005
10100601,Warren,9681.2509,101006
10100701,Coonabarabran,11.0219,101007
10100702,Coonabarabran - Surrounds,10463.1112,101007
10100801,Wellington,9.3292,101008
10100802,Wellington - Surrounds,4102.1768,101008
10200101,Armidale,3760.1185,102001
10200201,Glen Innes,5479.977,102002
10200301,Gunnedah,33.352,102003
10200302,Gunnedah - Surrounds,4907.9365,102003
10200401,Guyra,4675.7858,102004
10200402,Tingha,2.404,102004
10200501,Gwydir,8788.6174,102005
10200502,Inverell,8646.8927,102005
10200601,Liverpool Plains,5061.887,102006
10200602,Quirindi,9.78,102006
10200603,Walhallow Reserve (Carooma),0.7243,102006
10200604,Werris Creek,5.4511,102006
10200701,Moree - North,3.7889,102007
10200702,Moree - South,8.5969,102007
10200703,Moree - West,23.4059,102007
10200704,Stanley Village,3.5093,102007
10200801,Boggabilla,4.2486,102008
10200802,Moree Plains,17478.1385,102008
10200803,Mungindi,2.2911,102008
10200804,Toomelah,799.2273,102008
10200901,Muswellbrook,11.8912,102009
10200902,Muswellbrook - Surrounds,3392.9929,102009
10201001,Narrabri,15.0958,102010
10201002,Narrabri - Surrounds,13041.1012,102010
10201003,Wee Waa,4.5377,102010
10201101,Tamworth,240.7449,102011
10201102,Tamworth - Surrounds,8980.4841,102011
10201201,Jubullum Village,0.9837,102012
10201202,Tenterfield,7323.3235,102012
10201301,Upper Hunter,8067.5327,102013
10201401,Uralla,3094.9609,102014
10201402,Walcha,6742.5353,102014
10300101,Bourke,6.5338,103001
10300102,Bourke - Surrounds,42021.642,103001
10300204,Barwon Four,0.9134,103002
10300205,Brewarrina,6.6091,103002
10300206,Brewarrina - Surrounds,18502.7998,103002
10300207,Goodooga,1.4455,103002
10300301,Cobar,45547.4194,103003
10300302,Murrin Bridge,3.9786,103003
10300401,Coonamble,10.1731,103004
10300402,Coonamble - Surrounds,9613.0001,103004
10300403,Gulargambone,5.4223,103004
10300501,Broken Hill,170.1153,103005
10300503,Menindee,7.6491,103005
10300505,Broken Hill - Surrounds,146673.5859,103005
10300506,Wilcannia,3.4967,103005
10300601,Collarenebri,1.1145,103006
10300602,Gingie Reserve,1.6608,103006
10300603,Lightning Ridge,2.9268,103006
10300605,Walgett,5.7855,103006
10300608,Namoi Reserve,0.7963,103006
10300609,Walgett - Surrounds,23300.4275,103006
10400101,Bagotville,80.2488,104001
10400102,Ballina,25.528,104001
10400103,Ballina - Surrounds,374.778,104001
10400201,Byron,568.1142,104002
10400301,Cessnock - Bellbird - Aberdare,20.6492,104003
10400302,Cessnock - Surrounds,1934.3087,104003
10400303,Kurri Kurri - Weston,13.2501,104003
