SA1_CODE_2021,ILOC_CODE_2021
10102100701,10600501
10102100702,10600402
10102100703,10600402
10102100704,10600402
10102100705,10600402
10102100706,10600402
10102100707,10600402
10102100708,10600402
10102100709,10600402
10102100710,10600402
10102100801,10600401
10102100802,10600401
10102100803,10600401
10102100804,10600401
10102100805,10600401
10102100806,10600401
10102100807,10600401
10102100808,10600401
10102100809,10600401
10102100810,10600401
10102100811,10600401
10102100812,10600401
10102100813,10600401
10102100814,10600401
10102100815,10600401
10102100816,10600401
10102100817,10600401
10102100818,10600401
10102100819,10600401
10102100820,10600401
10102100821,10600401
10102100822,10600401
10102100823,10600401
10102100901,10600401
10102100902,10600401
10102100904,10600401
10102100905,10600401
10102100907,10600401
10102100908,10600401
10102100909,10600401
10102100910,10600401
10102100911,10600401
10102100912,10600401
10102100913,10600401
10102100914,10600401
10102100915,10600401
10102100916,10600401
10102100917,10600401
10102100918,10600401
10102100919,10600401
10102100920,10600401
10102100921,10600401
10102100923,10600401
10102100924,10600401
10102100925,10600401
10102100926,10600401
10102100927,10600401
10102100928,10600401
10102100929,10600401
10102101001,10600401
10102101002,10600401
10102101003,10600401
10102101004,10600401
10102101006,10600401
10102101007,10600401
10102101008,10600401
10102101009,10600401
10102101010,10600401
10102101011,10600401
10102101012,10600401
10102101013,10600401
10102101014,10600401
10102101015,10600401
10102101016,10600401
10102101017,10600401
10102101201,10600401
10102101202,10600401
10102101203,10600401
10102101204,10600401
10102101205,10600401
10102101206,10600401
10102101207,10600401
10102101208,10600401
10102101209,10600401
10102101210,10600401
10102101211,10600401
10102101212,10600401
10102101213,10600401
10102101214,10600401
10102101215,10600401
10102101216,10600401
10102101217,10600401
10102101218,10600401
10102101219,10600401
10102101220,10600401
10102101221,10600401
10102101222,10600401
10102101223,10600401
10102101224,10600401
10102101225,10600401
10102101226,10600401
10102101227,10600401
10102101228,10600401
10102101229,10600401
10102101230,10600401
10102101231,10600401
10102101232,10600401
10102161001,10600401
10102161002,10600401
10102161003,10600401
10102161004,10600401
10102161005,10600401
10102161006,10600401
10102161007,10600401
10102161008,10600401
10102161009,10600401
10102161010,10600401
10102161011,10600401
10102161012,10600401
10102161013,10600401
10102161014,10600401
10102161015,10600401
10102161101,10600402
10102161102,10600402
10102161103,10600402
10102161104,10600402
10102161105,10600402
10102161106,10600402
10102161107,10600402
10102161108,10600402
10102161109,10600402
10102161110,10600402
10102161111,10600402
10102161112,10600402
10102161113,10600402
10102161114,10600402
10102161115,10600401
10102161116,10600402
10102161117,10600402
10102161118,10600401
10102161119,10600402
10102161120,10600402
10102161121,10600402
10102161122,10600402
10102161123,10600402
10102161124,10600402
10102161125,10600402
10102161126,10600402
10102161127,10600402
10102161128,10600402
10102161129,10600401
10102161130,10600402
10102161131,10600402
10102161132,10600402
10102161133,10600401
10102161134,10600402
10102161135,10600402
10102161136,10600402
10102161137,10600402
10102161138,10600402
10102161139,10600401
10102161140,10600402
10102161141,10600401
10102161142,10600402
10102161143,10600402
10102161144,10600402
10102161145,10600402
10102161146,10600402
10103101301,10600402
10103101302,10600402
10103101303,10600402
10103101304,10600402
10103101305,10600402
10103101306,10600402
10103101307,10600402
10103101308,10600402
10103101401,10600402
10103101402,10600402
10103101403,10600402
10103101404,10600402
10103101405,10600402
10103101406,10600402
10103101407,10600402
10103101408,10600402
10103101409,10600402
10103101410,10600402
10103101411,10600402
10103101412,10600402
10103101414,10600402
10103101415,10600402
10103101417,10600402
10103101419,10600402
10103101420,10600402
10103101421,10600402
10103101501,10600402
10103101502,10600402
10103101503,10600402
10103101505,10600402
10103101511,10600402
10103101512,10600402
10103101514,10600402
10103101515,10600402
10103101516,10600402
10103101517,10600402
10103101518,10600402
10103101519,10600402
10103101520,10600402
10103101521,10600402
10103101523,10600402
10103101524,10600402
10103101525,10600402
10103101526,10600402
10103101601,10600402
10103101602,10600402
10103101603,10600402
10103101604,10600402
10103101605,10600402
10103101606,10600402
10103101607,10600402
10103101608,10600402
10103101611,10600402
10103101612,10600402
10103101614,10600402
10103101615,10600402
10103101616,10600402
10103101617,10600402
10103101619,10600402
10103101620,10600402
10103101621,10600402
10103101622,10600402
10103101623,10600402
10103101624,10600402
10103101625,10600402
10103101626,10600402
10103101627,10600402
10104101701,10600201
10104101702,10600201
10104101703,10600201
10104101704,10600201
10104101705,10600201
10104101706,10600201
10104101707,10600201
10104101708,10600201
10104101709,10600201
10104101710,10600201
10104101711,10600201
10104101713,10600201
10104101714,10600201
10104101715,10600201
10104101716,10600201
10104101717,10600201
10104101718,10600201
10104101719,10600201
10104101720,10600201
10104101721,10600201
10104101722,10600201
10104101723,10600201
10104101724,10600201
10104101801,10600201
10104101802,10600201
10104101803,10600201
10104101804,10600201
10104101805,10600201
10104101806,10600201
10104101807,10600201
10104101808,10600201
10104101809,10600201
10104101810,10600201
10104101811,10600201
10104101812,10600201
10104101813,10600201
10104101814,10600201
10104101815,10600201
10104101816,10600201
10104101817,10600201
10104101818,10600201
10104101819,10600201
10104101820,10600201
10104101821,10600201
10104101822,10600201
10104101823,10600201
10104101824,10600203
10104101901,10600101
10104101902,10600101
10104101903,10600101
10104101904,10600101
10104101905,10600101
10104101906,10600101
10104101907,10600101
10104101911,10600102
10104101912,10600102
10104101913,10600102
10104101915,10600102
10104101917,10600102
10104101918,10600102
10104101919,10600102
10104101920,10600101
10104101921,10600101
10104101924,10600102
10104101925,10600101
10104101926,10600102
10104101927,10600102
10104101928,10600102
10104101929,10600101
10104101930,10600102
10104101931,10600101
10104101932,10600102
10104101933,10600101
10104102001,10600102
10104102002,10600102
10104102003,10600102
10104102004,10600102
10104102005,10600102
10104102006,10600102
10104102007,10600102
10104102008,10600102
10104102009,10600102
10104102010,10600102
10104102011,10600102
10104102012,10600102
10104102013,10600102
10104102014,10600102
10104102015,10600102
10104102016,10600102
10104102017,10600102
10104102018,10600102
10104102019,10600102
10104102020,10600102
10104102021,10600102
10104102022,10600102
10104102023,10600102
10104102024,10600102
10104102025,10600102
10104102026,10600102
10104102027,10600102
10104102028,10600102
10104102029,10600102
10104102030,10600102
10104102031,10600102
10104102032,10600102
10104102102,10600203
10104102104,10600203
10104102105,10600203
10104102106,10600203
10104102107,10600203
10104102108,10600203
10104102110,10600203
10104102111,10600203
10104102201,10600102
10104102301,10600103
10104102302,10600103
10104102303,10600103
10104102304,10600102
10104102305,10600103
10104102306,10600103
10104102307,10600103
10104102308,10600103
10104102309,10600103
10104102310,10600103
10104102401,10600203
10104102402,10600203
10104102403,10600203
10104102404,10600203
10104102405,10600203
10104102406,10600203
10104102407,10600203
10104102408,10600202
10104102409,10600203
10104102410,10600203
10104102411,10600203
10104102412,10600203
10104102501,10600102
10104102502,10600102
10104102503,10600102
10104102504,10600102
10104102505,10600102
10104102506,10600102
10104102507,10600102
10104102508,10600102
10104102509,10600102
10104102510,10600102
10104102511,10600102
10104102512,10600102
10104102513,10600102
10104102514,10600102
10104102516,10600102
10104102517,10600102
10104102518,10600102
10104102519,10600102
10104102520,10600102
10104102521,10600102
10104102522,10600102
10104102523,10600102
10104102524,10600102
10104102525,10600102
10104102526,10600102
10104102527,10600102
10104102528,10600102
10104102529,10600102
10104102530,10600102
