MB_CODE_2021,MB_CATEGORY_2021,CHANGE_FLAG_2021,CHANGE_LABEL_2021,SA1_CODE_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,GCCSA_CODE_2021,GCCSA_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021,LGA_CODE_2023,LGA_NAME_2023,SAL_CODE_2021,SAL_NAME_2021,POA_CODE_2021,POA_NAME_2021
60000010000,Parkland,0,No change,60203106413,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.046,http://linked.data.gov.au/dataset/asgsed3/MB/60000010000,60210,Break O'Day,60035,Beaumaris (Tas.),7215,7215
60000020000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0019,http://linked.data.gov.au/dataset/asgsed3/MB/60000020000,60210,Break O'Day,60435,Mount William,7264,7264
60000030000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0099,http://linked.data.gov.au/dataset/asgsed3/MB/60000030000,60210,Break O'Day,60435,Mount William,7264,7264
60000040000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0048,http://linked.data.gov.au/dataset/asgsed3/MB/60000040000,60210,Break O'Day,60435,Mount William,7264,7264
60000050000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0031,http://linked.data.gov.au/dataset/asgsed3/MB/60000050000,60210,Break O'Day,60435,Mount William,7264,7264
60000060000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0001,http://linked.data.gov.au/dataset/asgsed3/MB/60000060000,60210,Break O'Day,60435,Mount William,7264,7264
60000070000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0424,http://linked.data.gov.au/dataset/asgsed3/MB/60000070000,60210,Break O'Day,60435,Mount William,7264,7264
60000080000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0106,http://linked.data.gov.au/dataset/asgsed3/MB/60000080000,60210,Break O'Day,60435,Mount William,7264,7264
60000090000,Parkland,0,No change,60203106406,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.5073,http://linked.data.gov.au/dataset/asgsed3/MB/60000090000,60210,Break O'Day,60638,Stieglitz,7216,7216
60000100000,Residential,0,No change,60203106402,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,5.4174,http://linked.data.gov.au/dataset/asgsed3/MB/60000100000,60210,Break O'Day,60129,Cornwall (Tas.),7215,7215
60000110000,Residential,0,No change,60203106417,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,2.5858,http://linked.data.gov.au/dataset/asgsed3/MB/60000110000,60210,Break O'Day,60386,Mathinna,7214,7214
60000120000,Residential,0,No change,60203106417,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.4173,http://linked.data.gov.au/dataset/asgsed3/MB/60000120000,60210,Break O'Day,60381,Mangana,7214,7214
60000130000,Parkland,0,No change,60203106418,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,13.2986,http://linked.data.gov.au/dataset/asgsed3/MB/60000130000,60210,Break O'Day,60179,Eddystone,7264,7264
60000140000,Parkland,0,No change,60203106403,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,6.6774,http://linked.data.gov.au/dataset/asgsed3/MB/60000140000,60210,Break O'Day,60213,Four Mile Creek (Tas.),7215,7215
60000160000,Parkland,0,No change,60203106414,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0045,http://linked.data.gov.au/dataset/asgsed3/MB/60000160000,60210,Break O'Day,60675,The Gardens (Tas.),7216,7216
60000170000,Parkland,0,No change,60203106414,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.0038,http://linked.data.gov.au/dataset/asgsed3/MB/60000170000,60210,Break O'Day,60675,The Gardens (Tas.),7216,7216
60000180000,Residential,0,No change,60203106420,602031064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,AUS,Australia,0.1203,http://linked.data.gov.au/dataset/asgsed3/MB/60000180000,60210,Break O'Day,60035,Beaumaris (Tas.),7215,7215
