SA1_CODE_2021,CHANGE_FLAG_2021,AREA_ALBERS_SQKM,SA2_CODE_2021
10102100701,0,362.8727,101021007
10102100702,0,229.7459,101021007
10102100703,0,2.391,101021007
10102100704,0,1.2816,101021007
10102100705,0,1.1978,101021007
10102100706,0,63.3894,101021007
10102100707,0,442.7713,101021007
10102100708,0,1137.7239,101021007
10102100709,0,350.9881,101021007
10102100710,0,825.9908,101021007
10102100801,0,0.1435,101021008
10102100802,0,0.3,101021008
10102100803,0,0.1309,101021008
10102100804,0,0.2218,101021008
10102100805,0,0.0978,101021008
10102100806,0,0.1358,101021008
10102100807,0,0.2451,101021008
10102100808,0,0.1538,101021008
10102100809,0,3.2796,101021008
10102100810,0,0.0931,101021008
10102100811,0,0.1627,101021008
10102100812,0,0.1109,101021008
10102100813,0,0.2157,101021008
10102100814,0,0.2984,101021008
10102100815,0,0.1426,101021008
10102100816,0,0.3033,101021008
10102100817,0,0.1242,101021008
10102100818,0,0.1076,101021008
10102100819,0,0.1626,101021008
10102100820,0,0.1713,101021008
10102100821,0,0.1624,101021008
10102100822,0,0.1207,101021008
10102100823,0,0.0987,101021008
10102100901,0,0.1001,101021009
10102100902,0,0.1352,101021009
10102100904,0,0.1383,101021009
10102100905,0,0.267,101021009
10102100907,0,0.1637,101021009
10102100908,0,0.1585,101021009
10102100909,0,0.0908,101021009
10102100910,0,0.1043,101021009
10102100911,0,0.1495,101021009
10102100912,0,0.1142,101021009
10102100913,0,0.2618,101021009
10102100914,0,0.2756,101021009
10102100915,0,0.1891,101021009
10102100916,0,0.1464,101021009
10102100917,0,0.2596,101021009
10102100918,0,0.2109,101021009
10102100919,0,0.3559,101021009
10102100920,0,0.0786,101021009
10102100921,0,0.0705,101021009
10102100923,0,0.2178,101021009
10102100924,0,0.1573,101021009
10102100925,0,0.0568,101021009
10102100926,0,0.1128,101021009
10102100927,0,0.4189,101021009
10102100928,0,0.157,101021009
10102100929,0,0.3714,101021009
10102101001,0,0.0889,101021010
10102101002,0,1.362,101021010
10102101003,0,1.3428,101021010
10102101004,0,0.0957,101021010
10102101006,0,0.1403,101021010
10102101007,0,0.1334,101021010
10102101008,0,0.3876,101021010
10102101009,0,1.1019,101021010
10102101010,0,0.1015,101021010
10102101011,0,1.4467,101021010
10102101012,0,0.0204,101021010
10102101013,0,4.0845,101021010
10102101014,0,2.2717,101021010
10102101015,0,0.0864,101021010
10102101016,0,0.1938,101021010
10102101017,0,0.1456,101021010
10102101201,0,0.0899,101021012
10102101202,0,0.3118,101021012
10102101203,0,0.5254,101021012
10102101204,0,0.7836,101021012
10102101205,0,0.1963,101021012
10102101206,0,0.2317,101021012
10102101207,0,0.0875,101021012
10102101208,0,0.3704,101021012
10102101209,0,0.4409,101021012
10102101210,0,0.2186,101021012
10102101211,0,0.248,101021012
10102101212,0,0.1277,101021012
10102101213,0,0.2624,101021012
10102101214,0,0.2173,101021012
10102101215,0,0.2279,101021012
10102101216,0,0.1429,101021012
10102101217,0,2.4495,101021012
10102101218,0,0.2145,101021012
10102101219,0,0.2709,101021012
10102101220,0,0.315,101021012
10102101221,0,0.1594,101021012
10102101222,0,0.2016,101021012
10102101223,0,0.359,101021012
10102101224,0,0.3313,101021012
