SA2_CODE_2021,SUA_CODE_2021
101021007,1000
101021008,8001
101021009,8001
101021010,8001
101021012,8001
101021610,1000
101021611,1000
101031013,1000
101031014,1000
101031015,1000
101031016,1000
101041017,1004
101041018,1004
101041019,1000
101041020,1000
101041021,1000
101041022,1000
101041023,1000
101041024,1000
101041025,1000
101041026,1000
101041027,1000
101051539,1014
101051540,1000
101061541,1000
101061542,1000
101061543,1000
101061544,1000
102011028,1010
102011029,1010
102011030,1010
102011031,1010
102011032,1010
102011033,1010
102011034,1010
102011035,1010
102011036,1010
102011037,1010
102011038,1010
102011039,1010
102011040,1010
102011041,1010
102011042,1010
102011043,1010
102021044,1010
102021045,1010
102021046,1010
102021047,1010
102021048,1010
102021049,1000
102021050,1010
102021051,1010
102021052,1010
102021053,1010
102021054,1010
102021055,1010
102021056,1010
102021057,1010
103011059,1005
103011060,1000
103011061,1000
103011612,1005
103011613,1005
103021062,1000
103021063,1000
103021064,1000
103021065,1000
103021066,1000
103021067,1000
103021068,1000
103021069,1000
103031070,1019
103031071,1000
103031072,1022
103031073,1000
103031074,1000
103031075,1000
103041076,1000
103041077,1027
103041078,1027
103041079,1000
104011080,1015
104011081,1000
104011082,1000
104021083,1000
104021084,1011
104021085,1011
104021086,1000
104021087,1000
104021088,1011
104021089,1011
104021090,1000
104021091,1011
105011092,1000
105011093,1000
105011094,1000
105011095,1000
105011096,1000
105021097,1007
105021098,1000
105031099,1000
105031100,1012
105031101,1012
105031102,1012
105031103,1000
105031104,1000
105031105,1000
105031106,1000
106011107,1000
106011108,1025
106011109,1000
106011110,1000
106011111,1025
106011112,1029
106011113,1000
106021114,1025
106021116,1025
106021614,1025
106021615,1025
106021616,1025
106021617,1025
106021618,1025
106031119,1024
106031120,1000
106031121,1024
106031122,1025
106031123,1000
106031124,1000
106031125,1020
106041126,1023
106041127,1000
106041128,1000
106041129,1000
107011131,1036
107011132,1036
107011133,1036
107011134,1036
107011545,1036
107011546,1036
107011547,1036
107021135,1000
107031136,1036
107031137,1036
107031138,1036
107031139,1036
107031140,1000
107031141,1036
107031142,1036
107031143,1036
107041144,1036
107041145,1036
107041146,1036
107041147,1036
107041148,1036
107041150,1036
107041548,1036
107041549,1036
108011151,1000
108011152,1013
108011153,1000
108011154,1013
108021155,1017
108021156,1000
108021157,1000
108021158,1000
108021159,1000
108021160,1000
108031161,1000
108041162,1009
108041164,1028
108041165,1000
108041166,1000
108041619,1028
108041620,1028
108051167,1000
108051168,1000
108051169,1033
108051170,1000
108051171,1033
109011172,1001
109011173,1001
109011174,1001
109011175,1000
109011176,1001
109021177,1000
109021178,2012
109021179,1000
109031180,1000
109031181,1000
109031182,1000
109031183,1000
109031184,2007
109031185,1000
110011186,1002
110011187,1000
110011188,1000
110011189,1000
110021190,1000
110021191,1000
110021192,1000
110021193,1000
110021194,1000
110031195,1000
110031196,1000
110031197,1000
110031198,1000
110041199,1000
110041200,1000
110041201,1000
110041202,1032
110041203,1032
110041204,1032
110041205,1000
111011206,1025
111011207,1025
111011208,1025
111011209,1025
111011210,1025
111011211,1025
111011212,1025
111011213,1025
111011214,1025
111021215,1025
111021216,1021
111021217,1025
111021218,1021
111021219,1025
111021220,1025
111021221,1025
111031222,1025
111031223,1025
111031224,1025
111031225,1025
111031226,1025
111031227,1025
111031228,1025
111031229,1025
111031230,1025
111031231,1025
111031232,1025
111031233,1025
111031234,1025
111031235,1025
112011236,1003
112011237,1003
112011238,1000
112011239,1000
112011240,1008
112011241,1000
112011242,1003
112011243,1000
112021244,1000
