SA2_CODE_2021,TR_CODE_2021
101041025,1R010
101041026,1R010
101041027,1R010
107041548,1R010
107041549,1R010
101041024,1R010
114011272,1R010
114011273,1R010
114011274,1R010
114011275,1R010
114011276,1R010
114011277,1R010
107041150,1R010
107011545,1R010
101041017,1R010
114011279,1R010
114011280,1R010
114011281,1R010
114011282,1R010
114011283,1R010
114011278,1R010
101041018,1R010
101041019,1R010
101041020,1R010
101041021,1R010
101041022,1R010
101041023,1R010
107011131,1R010
107011132,1R010
107011133,1R010
107011134,1R010
107011546,1R010
107011547,1R010
107021135,1R010
107031136,1R010
107031137,1R010
107031138,1R010
107031139,1R010
107031140,1R010
107031141,1R010
107031142,1R010
107031143,1R010
107041144,1R010
107041145,1R010
107041146,1R010
107041147,1R010
107041148,1R010
117011321,1R040
119041382,1R040
119041668,1R040
119041669,1R040
119041670,1R040
119041671,1R040
120011383,1R040
120011385,1R040
120011386,1R040
120011672,1R040
119031370,1R040
119031371,1R040
119031373,1R040
119031374,1R040
119031664,1R040
119031665,1R040
119031666,1R040
119031667,1R040
119041377,1R040
119011356,1R040
119011358,1R040
119011360,1R040
119011361,1R040
119011571,1R040
119011572,1R040
119011655,1R040
119011656,1R040
119011657,1R040
119011658,1R040
119021362,1R040
119021366,1R040
119021367,1R040
119021573,1R040
121011399,1R040
121011401,1R040
121011682,1R040
121011683,1R040
121011684,1R040
121011685,1R040
121011686,1R040
121011687,1R040
121021403,1R040
121021404,1R040
121021406,1R040
121021577,1R040
121021578,1R040
121021579,1R040
121031407,1R040
121031408,1R040
121031409,1R040
121031410,1R040
121031411,1R040
121031412,1R040
121041413,1R040
121041414,1R040
121041416,1R040
121041417,1R040
121041688,1R040
120011673,1R040
120021387,1R040
120021389,1R040
120021674,1R040
120021675,1R040
120031392,1R040
120031393,1R040
120031394,1R040
120031395,1R040
120031396,1R040
120031576,1R040
120031676,1R040
120031677,1R040
120031678,1R040
120031679,1R040
120031680,1R040
120031681,1R040
124031457,1R040
124031459,1R040
124031460,1R040
124031461,1R040
124031462,1R040
124031463,1R040
124031464,1R040
124031465,1R040
124031707,1R040
124031708,1R040
124041466,1R040
124041467,1R040
124041468,1R040
124051469,1R040
125031480,1R040
125031483,1R040
125031484,1R040
125031486,1R040
125031487,1R040
125031713,1R040
125031714,1R040
125031715,1R040
125031716,1R040
125041489,1R040
125041490,1R040
125041491,1R040
125041493,1R040
125041494,1R040
125041588,1R040
125041589,1R040
125041717,1R040
124051470,1R040
124051580,1R040
124051581,1R040
125011475,1R040
125011582,1R040
125011583,1R040
125011584,1R040
125011585,1R040
125011586,1R040
125011587,1R040
125011709,1R040
125011710,1R040
125021477,1R040
125021478,1R040
125021711,1R040
125021712,1R040
125031479,1R040
121041689,1R040
122011418,1R040
122011419,1R040
122021420,1R040
122021421,1R040
122021422,1R040
122021690,1R040
122021691,1R040
122031424,1R040
122031425,1R040
122031427,1R040
122031429,1R040
122031430,1R040
122031432,1R040
122031692,1R040
122031693,1R040
122031694,1R040
122031695,1R040
122031696,1R040
122031697,1R040
123011433,1R040
123011698,1R040
123011699,1R040
115011290,1R040
115011291,1R040
115011294,1R040
115011296,1R040
115011553,1R040
123011700,1R040
123011701,1R040
123011702,1R040
123021436,1R040
123021437,1R040
123021438,1R040
123021439,1R040
123021441,1R040
123021443,1R040
123021444,1R040
123021703,1R040
123021704,1R040
123021705,1R040
123021706,1R040
123031445,1R040
123031446,1R040
123031447,1R040
123031448,1R040
125041718,1R040
125041719,1R040
126011496,1R040
126011720,1R040
126011721,1R040
126021498,1R040
126021499,1R040
126021500,1R040
126021501,1R040
126021503,1R040
126021590,1R040
126021722,1R040
126021723,1R040
126021724,1R040
126021725,1R040
127011504,1R040
127011505,1R040
127011592,1R040
127011593,1R040
127011594,1R040
127011595,1R040
127011596,1R040
127011597,1R040
127011726,1R040
127011727,1R040
127011729,1R040
127021509,1R040
127021510,1R040
127021511,1R040
127021512,1R040
