SA3_CODE_2021,SA3_NAME_2021,CHANGE_FLAG_2021,AREA_ALBERS_SQKM,SA4_CODE_2021
10102,Queanbeyan,0,6511.3971,101
10103,Snowy Mountains,0,14284.5857,101
10104,South Coast,0,9864.4876,101
10105,Goulburn - Mulwaree,0,9099.9087,101
10106,Young - Yass,0,12135.8653,101
10201,Gosford,0,988.3863,102
10202,Wyong,0,692.6225,102
10301,Bathurst,0,6984.1829,103
10302,Lachlan Valley,0,41000.7206,103
10303,Lithgow - Mudgee,0,16044.6243,103
10304,Orange,0,6267.5322,103
10401,Clarence Valley,0,9263.194,104
10402,Coffs Harbour,0,3966.5637,104
10501,Bourke - Cobar - Coonamble,0,162762.4085,105
10502,Broken Hill and Far West,0,146854.847,105
10503,Dubbo,0,29738.3906,105
10601,Lower Hunter,0,8566.7812,106
10602,Maitland,0,380.1169,106
10603,Port Stephens,0,1071.9768,106
10604,Upper Hunter,0,11472.4168,106
10701,Dapto - Port Kembla,0,164.0176,107
10702,Illawarra Catchment Reserve,0,744.3423,107
10703,Kiama - Shellharbour,0,390.7982,107
10704,Wollongong,0,240.0824,107
10801,Great Lakes,0,3133.0446,108
10802,Kempsey - Nambucca,0,5339.3246,108
10803,Lord Howe Island,0,16.2918,108
10804,Port Macquarie,0,3687.7694,108
10805,Taree - Gloucester,0,6675.0682,108
10901,Albury,0,5597.0037,109
10902,Lower Murray,0,63967.8828,109
10903,Upper Murray exc. Albury,0,28231.6033,109
11001,Armidale,0,16395.6494,110
11002,Inverell - Tenterfield,0,30566.4425,110
11003,Moree - Narrabri,0,32022.7204,110
11004,Tamworth - Gunnedah,0,20155.0876,110
11101,Lake Macquarie - East,0,138.0853,111
11102,Lake Macquarie - West,0,507.6329,111
11103,Newcastle,0,224.8639,111
11201,Richmond Valley - Coastal,0,1572.9178,112
11202,Richmond Valley - Hinterland,0,7390.617,112
11203,Tweed Valley,0,1307.7853,112
11301,Griffith - Murrumbidgee (West),0,28859.6888,113
11302,Tumut - Tumbarumba,0,9174.7261,113
11303,Wagga Wagga,0,18950.5656,113
11401,Shoalhaven,0,4374.9473,114
11402,Southern Highlands,0,2330.0146,114
11501,Baulkham Hills,0,72.0257,115
11502,Dural - Wisemans Ferry,0,569.2386,115
11503,Hawkesbury,0,2492.0101,115
11504,Rouse Hill - McGraths Hill,0,118.2237,115
11601,Blacktown,0,55.9289,116
11602,Blacktown - North,0,103.0657,116
11603,Mount Druitt,0,81.8889,116
11701,Botany,0,28.3677,117
11702,Marrickville - Sydenham - Petersham,0,12.67,117
11703,Sydney Inner City,0,25.0658,117
11801,Eastern Suburbs - North,0,26.1862,118
11802,Eastern Suburbs - South,0,31.548,118
11901,Bankstown,0,68.6675,119
11902,Canterbury,0,29.9648,119
11903,Hurstville,0,33.9469,119
11904,Kogarah - Rockdale,0,31.348,119
12001,Canada Bay,0,19.7477,120
12002,Leichhardt,0,10.6577,120
12003,Strathfield - Burwood - Ashfield,0,34.1437,120
12101,Chatswood - Lane Cove,0,33.1733,121
12102,Hornsby,0,137.3989,121
12103,Ku-ring-gai,0,85.5463,121
12104,North Sydney - Mosman,0,18.9809,121
12201,Manly,0,14.3455,122
12202,Pittwater,0,90.6494,122
12203,Warringah,0,149.2123,122
12301,Camden,0,73.8692,123
12302,Campbelltown (NSW),0,333.0123,123
12303,Wollondilly,0,870.3606,123
12401,Blue Mountains,0,942.4079,124
12402,Blue Mountains - South,0,2456.9093,124
12403,Penrith,0,356.859,124
12404,Richmond - Windsor,0,178.8386,124
12405,St Marys,0,33.1146,124
12501,Auburn,0,33.06,125
12502,Carlingford,0,25.6873,125
12503,Merrylands - Guildford,0,56.9969,125
12504,Parramatta,0,47.0908,125
12601,Pennant Hills - Epping,0,22.1744,126
12602,Ryde - Hunters Hill,0,47.1624,126
12701,Bringelly - Green Valley,0,291.524,127
12702,Fairfield,0,123.7703,127
12703,Liverpool,0,124.9847,127
12801,Cronulla - Miranda - Caringbah,0,55.6052,128
12802,Sutherland - Menai - Heathcote,0,240.2473,128
19797,Migratory - Offshore - Shipping (NSW),0,,197
19999,No usual address (NSW),0,,199
20101,Ballarat,0,448.3487,201
20102,Creswick - Daylesford - Ballan,0,3666.673,201
20103,Maryborough - Pyrenees,0,6172.454,201
20201,Bendigo,0,287.4437,202
20202,Heathcote - Castlemaine - Kyneton,0,3920.938,202
20203,Loddon - Elmore,0,7633.5241,202
20301,Barwon - West,0,2579.8387,203
20302,Geelong,0,918.8913,203
20303,Surf Coast - Bellarine Peninsula,0,929.969,203
20401,Upper Goulburn Valley,0,13959.3184,204
20402,Wangaratta - Benalla,0,6545.573,204
20403,Wodonga - Alpine,0,13501.5851,204
20501,Baw Baw,0,3933.8416,205
20502,Gippsland - East,0,21713.2073,205
20503,Gippsland - South West,0,4381.6191,205
20504,Latrobe Valley,0,1479.6675,205
20505,Wellington,0,10044.7738,205
20601,Brunswick - Coburg,0,20.4136,206
20602,Darebin - South,0,14.0275,206
20603,Essendon,0,18.2149,206
20604,Melbourne City,0,31.3927,206
20605,Port Phillip,0,25.8641,206
20606,Stonnington - West,0,11.9292,206
20607,Yarra,0,20.6159,206
20701,Boroondara,0,60.0159,207
20702,Manningham - West,0,48.6725,207
20703,Whitehorse - West,0,38.0552,207
20801,Bayside,0,37.2111,208
20802,Glen Eira,0,40.7003,208
20803,Kingston,0,69.8632,208
20804,Stonnington - East,0,13.7218,208
20901,Banyule,0,62.6133,209
20902,Darebin - North,0,39.4437,209
20903,Nillumbik - Kinglake,0,751.7682,209
20904,Whittlesea - Wallan,0,997.4395,209
21001,Keilor,0,42.4249,210
21002,Macedon Ranges,0,992.1072,210
21003,Moreland - North,0,30.3779,210
21004,Sunbury,0,260.6846,210
21005,Tullamarine - Broadmeadows,0,294.0938,210
21101,Knox,0,118.3018,211
21102,Manningham - East,0,66.5619,211
21103,Maroondah,0,61.1872,211
21104,Whitehorse - East,0,26.5696,211
21105,Yarra Ranges,0,1605.9372,211
21201,Cardinia,0,1282.3263,212
21202,Casey - North,0,116.5028,212
21203,Casey - South,0,292.9259,212
21204,Dandenong,0,151.051,212
21205,Monash,0,79.4734,212
21301,Brimbank,0,106.8497,213
21302,Hobsons Bay,0,62.2158,213
21303,Maribyrnong,0,31.2258,213
21304,Melton - Bacchus Marsh,0,671.9435,213
21305,Wyndham,0,544.119,213
21401,Frankston,0,129.5981,214
21402,Mornington Peninsula,0,724.1681,214
21501,Grampians,0,38139.6815,215
21502,Mildura,0,22081.9206,215
21503,Murray River - Swan Hill,0,17851.3822,215
21601,Campaspe,0,4554.7835,216
21602,Moira,0,4045.9201,216
21603,Shepparton,0,2333.1625,216
21701,Glenelg - Southern Grampians,0,12946.3914,217
21703,Colac - Corangamite,0,7936.5546,217
21704,Warrnambool,0,5496.1771,217
29797,Migratory - Offshore - Shipping (Vic.),0,,297
29999,No usual address (Vic.),0,,299
30101,Capalaba,0,89.2962,301
30102,Cleveland - Stradbroke,0,480.9782,301
30103,Wynnum - Manly,0,82.8585,301
30201,Bald Hills - Everton Park,0,35.9308,302
30202,Chermside,0,32.2387,302
30203,Nundah,0,87.0317,302
30204,Sandgate,0,31.7471,302
30301,Carindale,0,26.5106,303
30302,Holland Park - Yeronga,0,27.565,303
