SED_CODE_2022,SED_NAME_2022
10001,Albury
10002,Auburn
10003,Badgerys Creek
10004,Ballina
10005,Balmain
10006,Bankstown
10007,Barwon
10008,Bathurst
10009,Bega
10010,Blacktown
10011,Blue Mountains
10012,Cabramatta
10013,Camden
10014,Campbelltown
10015,Canterbury
10016,Castle Hill
10017,Cessnock
10018,Charlestown
10019,Clarence
10020,Coffs Harbour
10021,Coogee
10022,Cootamundra
10023,Cronulla
10024,Davidson
10025,Drummoyne
10026,Dubbo
10027,East Hills
10028,Epping
10029,Fairfield
10030,Gosford
10031,Goulburn
10032,Granville
10033,Hawkesbury
10034,Heathcote
10035,Heffron
10036,Holsworthy
10037,Hornsby
10038,Keira
10039,Kellyville
10040,Kiama
10041,Kogarah
10042,Lake Macquarie
10043,Lane Cove
10044,Leppington
10045,Lismore
10046,Liverpool
10047,Londonderry
10048,Macquarie Fields
10049,Maitland
10050,Manly
10051,Maroubra
10052,Miranda
10053,Monaro
10054,Mount Druitt
10055,Murray
10056,Myall Lakes
10057,Newcastle
10058,Newtown
10059,North Shore
10060,Northern Tablelands
10061,Oatley
10062,Orange
10063,Oxley
10064,Parramatta
10065,Penrith
10066,Pittwater
10067,Port Macquarie
10068,Port Stephens
10069,Prospect
10070,Riverstone
10071,Rockdale
10072,Ryde
10073,Shellharbour
10074,South Coast
10075,Strathfield
10076,Summer Hill
10077,Swansea
10078,Sydney
10079,Tamworth
10080,Terrigal
10081,The Entrance
10082,Tweed
10083,Upper Hunter
10084,Vaucluse
10085,Wagga Wagga
10086,Wahroonga
10087,Wakehurst
10088,Wallsend
10089,Willoughby
10090,Winston Hills
10091,Wollondilly
10092,Wollongong
10093,Wyong
19494,No usual address (NSW)
19797,Migratory - Offshore - Shipping (NSW)
20106,Albert Park (Southern Metropolitan)
20206,Ashwood (Southern Metropolitan)
20301,Bass (Eastern Victoria)
20402,Bayswater (North-Eastern Metropolitan)
20508,Bellarine (Western Victoria)
20604,Benambra (Northern Victoria)
20704,Bendigo East (Northern Victoria)
20804,Bendigo West (Northern Victoria)
20906,Bentleigh (Southern Metropolitan)
21005,Berwick (South-Eastern Metropolitan)
21102,Box Hill (North-Eastern Metropolitan)
21206,Brighton (Southern Metropolitan)
21303,Broadmeadows (Northern Metropolitan)
21403,Brunswick (Northern Metropolitan)
21502,Bulleen (North-Eastern Metropolitan)
21602,Bundoora (North-Eastern Metropolitan)
21705,Carrum (South-Eastern Metropolitan)
21806,Caulfield (Southern Metropolitan)
21905,Clarinda (South-Eastern Metropolitan)
22005,Cranbourne (South-Eastern Metropolitan)
22102,Croydon (North-Eastern Metropolitan)
22205,Dandenong (South-Eastern Metropolitan)
22304,Eildon (Northern Victoria)
22402,Eltham (North-Eastern Metropolitan)
22503,Essendon (Northern Metropolitan)
22608,Eureka (Western Victoria)
22704,Euroa (Northern Victoria)
22801,Evelyn (Eastern Victoria)
22907,Footscray (Western Metropolitan)
23005,Frankston (South-Eastern Metropolitan)
23108,Geelong (Western Victoria)
23201,Gippsland East (Eastern Victoria)
23301,Gippsland South (Eastern Victoria)
23402,Glen Waverley (North-Eastern Metropolitan)
23503,Greenvale (Northern Metropolitan)
23601,Hastings (Eastern Victoria)
23706,Hawthorn (Southern Metropolitan)
23802,Ivanhoe (North-Eastern Metropolitan)
23903,Kalkallo (Northern Metropolitan)
24006,Kew (Southern Metropolitan)
24107,Kororoit (Western Metropolitan)
24208,Lara (Western Victoria)
24307,Laverton (Western Metropolitan)
24408,Lowan (Western Victoria)
24504,Macedon (Northern Victoria)
24606,Malvern (Southern Metropolitan)
24703,Melbourne (Northern Metropolitan)
24808,Melton (Western Victoria)
24904,Mildura (Northern Victoria)
25002,Mill Park (North-Eastern Metropolitan)
25101,Monbulk (Eastern Victoria)
25205,Mordialloc (South-Eastern Metropolitan)
25301,Mornington (Eastern Victoria)
25401,Morwell (Eastern Victoria)
25505,Mulgrave (South-Eastern Metropolitan)
25604,Murray Plains (Northern Victoria)
25701,Narracan (Eastern Victoria)
25805,Narre Warren North (South-Eastern Metropolitan)
25905,Narre Warren South (South-Eastern Metropolitan)
26001,Nepean (Eastern Victoria)
26107,Niddrie (Western Metropolitan)
26203,Northcote (Northern Metropolitan)
26306,Oakleigh (Southern Metropolitan)
26404,Ovens Valley (Northern Victoria)
26501,Pakenham (Eastern Victoria)
26603,Pascoe Vale (Northern Metropolitan)
26707,Point Cook (Western Metropolitan)
26808,Polwarth (Western Victoria)
26906,Prahran (Southern Metropolitan)
27003,Preston (Northern Metropolitan)
27103,Richmond (Northern Metropolitan)
27202,Ringwood (North-Eastern Metropolitan)
27308,Ripon (Western Victoria)
27405,Rowville (South-Eastern Metropolitan)
27506,Sandringham (Southern Metropolitan)
27604,Shepparton (Northern Victoria)
27708,South Barwon (Western Victoria)
27808,South-West Coast (Western Victoria)
27907,St Albans (Western Metropolitan)
28007,Sunbury (Western Metropolitan)
28107,Sydenham (Western Metropolitan)
28207,Tarneit (Western Metropolitan)
28303,Thomastown (Northern Metropolitan)
28402,Warrandyte (North-Eastern Metropolitan)
28508,Wendouree (Western Victoria)
28607,Werribee (Western Metropolitan)
28707,Williamstown (Western Metropolitan)
28804,Yan Yean (Northern Victoria)
29494,No usual address (Vic.)
29797,Migratory - Offshore - Shipping (Vic.)
30001,Algester
30002,Aspley
30003,Bancroft
30004,Barron River
30005,Bonney
30006,Broadwater
30007,Buderim
30008,Bulimba
30009,Bundaberg
30010,Bundamba
30011,Burdekin
30012,Burleigh
30013,Burnett
30014,Cairns
30015,Callide
30016,Caloundra
30017,Capalaba
30018,Chatsworth
30019,Clayfield
30020,Condamine
30021,Cook
30022,Coomera
30023,Cooper
30024,Currumbin
30025,Everton
30026,Ferny Grove
30027,Gaven
30028,Gladstone
30029,Glass House
30030,Greenslopes
30031,Gregory
30032,Gympie
30033,Hervey Bay
30034,Hill
30035,Hinchinbrook
30036,Inala
30037,Ipswich
30038,Ipswich West
30039,Jordan
30040,Kawana
30041,Keppel
30042,Kurwongbah
30043,Lockyer
30044,Logan
30045,Lytton
30046,Macalister
30047,Mackay
30048,Maiwar
30049,Mansfield
30050,Maroochydore
30051,Maryborough
30052,McConnel
30053,Mermaid Beach
30054,Miller
30055,Mirani
30056,Moggill
30057,Morayfield
30058,Mount Ommaney
