UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021
101001,Sydney,101
102001,Canberra - Queanbeyan (Queanbeyan Part),102
102002,Central Coast,102
102003,Gold Coast - Tweed Heads (Tweed Heads Part),102
102004,Newcastle,102
102005,Wollongong,102
111001,Albury - Wodonga (Albury Part),111
111002,Coffs Harbour,111
111003,Maitland (NSW),111
112001,Armidale,112
112002,Bathurst,112
112003,Blue Mountains,112
112004,Bowral - Mittagong,112
112005,Cessnock,112
112006,Dubbo,112
112007,Echuca - Moama (Moama Part),112
112008,Forster - Tuncurry,112
112009,Goulburn,112
112010,Griffith,112
112011,Kurri Kurri,112
112012,Lismore (NSW),112
112013,Mildura - Buronga (Buronga Part),112
112014,Morisset - Cooranbong,112
112015,Nowra - Bomaderry,112
112016,Orange,112
112017,Port Macquarie,112
112018,Tamworth,112
112019,Wagga Wagga,112
113001,Ballina,113
113002,Batemans Bay,113
113003,Broken Hill,113
113004,Byron Bay,113
113005,Grafton,113
113006,Kempsey,113
113007,Kiama,113
113008,Lithgow,113
113009,Medowie,113
113010,Mudgee,113
113011,Muswellbrook,113
113012,Nelson Bay,113
113013,Raymond Terrace,113
113014,Singleton,113
113015,St Georges Basin - Sanctuary Point,113
113016,Taree,113
113017,Ulladulla,113
113018,Yarrawonga - Mulwala (Mulwala Part),113
114001,Alstonville,114
114002,Camden Haven,114
114003,Casino,114
114004,Cooma,114
114005,Cootamundra,114
114006,Corowa - Wahgunyah (Corowa Part),114
114007,Cowra,114
114008,Deniliquin,114
114009,Estella,114
114010,Forbes,114
114011,Glen Innes,114
114012,Googong,114
114013,Gunnedah,114
114014,Helensburgh,114
114015,Inverell,114
114016,Leeton,114
114017,Lennox Head,114
114018,Merimbula,114
114019,Moree,114
114020,Moss Vale,114
114021,Murwillumbah,114
114022,Nambucca Heads,114
114023,Narrabri,114
114024,Parkes,114
114025,Pottsville,114
114026,Richmond North,114
114027,Salamander Bay - Soldiers Point,114
114028,Scone,114
114029,Silverdale - Warragamba,114
114030,South West Rocks,114
114031,Summerland Point - Gwandalan,114
114032,Tahmoor,114
114033,Tumut,114
114034,Wauchope,114
114035,Woolgoolga,114
114036,Yamba,114
114037,Yass,114
114038,Young,114
115001,Aberdeen,115
115002,Anna Bay - Boat Harbour,115
115003,Appin,115
115004,Arrawarra,115
115005,Balranald,115
115006,Bangalow,115
115007,Bargo,115
115008,Barham - Koondrook (Barham Part),115
115009,Barooga,115
115010,Barraba,115
115011,Basin View,115
115012,Batlow,115
115013,Bega,115
115014,Bellingen,115
115015,Bermagui,115
115016,Berridale,115
115017,Berry,115
115018,Bingara,115
115019,Blackheath,115
115020,Blayney,115
115021,Bombala,115
115022,Bonny Hills,115
115023,Boorowa,115
115024,Bourke,115
115025,Bowen Mountain,115
115026,Braidwood,115
115027,Branxton,115
115028,Broulee - Mossy Point,115
115029,Brunswick Heads,115
115030,Bulahdelah,115
115031,Bundanoon,115
115032,Bundeena,115
115033,Bungendore,115
115034,Buxton (NSW),115
115035,Calala,115
115036,Callala Bay,115
115037,Cambewarra Village,115
115038,Canowindra,115
115039,Cobar,115
115040,Colo Vale,115
115041,Condobolin,115
115042,Coolamon,115
115043,Coonabarabran,115
115044,Coonamble,115
115045,Coraki,115
115046,Corindi Beach,115
115047,Crookwell,115
115048,Culburra Beach - Orient Point,115
115049,Culcairn,115
115050,Cumbalum,115
115051,Dalmeny,115
115052,Denman,115
115053,Dorrigo,115
115054,Douglas Park,115
115055,Dungog,115
115056,Eden,115
115057,Evans Head,115
115058,Fingal Bay,115
115059,Finley,115
115060,Forest Hill (NSW),115
115061,Frederickton,115
115062,Freemans Reach,115
115063,Galston,115
115064,Gerringong,115
115065,Gilgandra,115
115066,Glossodia,115
115067,Gloucester,115
115068,Greenwell Point,115
115069,Grenfell,115
115070,Greta,115
115071,Gulgong,115
115072,Gulmarrad,115
115073,Gundagai,115
115074,Guyra,115
115075,Hallidays Point - Black Head,115
115076,Harden - Murrumburrah,115
115077,Harrington,115
115078,Hawks Nest ,115
115079,Hay,115
115080,Hill Top,115
115081,Hillston,115
115082,Holbrook,115
115083,Howlong,115
115084,Iluka,115
115085,Jamberoo,115
115086,Jindabyne,115
115087,Jindera,115
115088,Junction Hill,115
115089,Junee,115
115090,Kandos,115
115091,Karuah,115
115092,Kootingal,115
115093,Kurrajong,115
115094,Kyogle,115
115095,Lake Cargelligo,115
115096,Lake Cathie,115
115097,Lemon Tree Passage,115
115098,Lightning Ridge,115
115099,Macksville,115
115100,Maclean,115
115101,Malua Bay,115
115102,Manilla,115
115103,Merriwa,115
115104,Milton,115
115105,Molong,115
115106,Moruya,115
115107,Mullumbimby,115
115108,Murrumbateman,115
115109,Narooma,115
115110,Narrandera,115
115111,Narromine,115
115112,North Rothbury,115
115113,Nyngan,115
115114,Oberon,115
115115,Ocean Shores,115
115116,Old Bar,115
115117,Old Erowal Bay,115
115118,Pambula,115
115119,Picton,115
115120,Pitt Town,115
115121,Portland (NSW),115
115122,Quirindi,115
115123,Robertson,115
115124,Sandy Beach - Emerald Beach,115
115125,Shoalhaven Heads,115
115126,Skennars Head,115
115127,Smiths Lake,115
115128,South Golden Beach,115
115129,Stanwell Park,115
115130,Sussex Inlet,115
115131,Tanilba Bay,115
115132,Tathra,115
115133,Tea Gardens,115
115134,Temora,115
115135,Tenterfield,115
115136,The Oaks,115
115137,Thirlmere,115
115138,Thrumster,115
115139,Tocumwal,115
115140,Tomakin,115
115141,Tumbarumba,115
115142,Tuross Head,115
115143,Uralla,115
115144,Urunga,115
115145,Valla Beach,115
115146,Vincentia,115
115147,Vincentia West,115
115148,Walcha,115
115149,Walgett,115
115150,Wallacia,115
115151,Wallerawang,115
115152,Warialda,115
115153,Warren,115
115154,Wee Waa,115
115155,Wellington,115
115156,Wentworth,115
115157,Werris Creek,115
115158,West Wyalong,115
115159,Wilberforce,115
115160,Wilton,115
115161,Wingham,115
115162,Wollongbar,115
115163,Wyee,115
115164,Wyee Point,115
115165,Yenda,115
121001,Adelong (L),121
121002,Baradine (L),121
121003,Bawley Point (L),121
121004,Beechwood (L),121
121005,Belimbla Park (L),121
121006,Berrara - Cudmirrah (L),121
121007,Berrigan (L),121
121008,Boggabilla (L),121
121009,Boggabri (L),121
121010,Boomerang Beach - Blueys Beach (L),121
121011,Bowraville (L),121
121012,Brandy Hill (L),121
121013,Brewarrina (L),121
121014,Broadwater (L),121
121015,Brooklyn (L),121
121016,Burringbar (L),121
121017,Catherine Hill Bay (L),121
121018,Clarence Town (L),121
121019,Clifton Grove (L),121
121020,Clunes (L) (NSW),121
121021,Coleambally (L),121
121022,Coolah (L),121
121023,Coomba Park (L),121
121024,Coutts Crossing (L),121
121025,Cowan (L),121
121026,Crescent Head (L),121
121027,Cudgen (L),121
121028,Cunjurong Point - Manyana (L),121
121029,Curlewis (L),121
121030,Darlington Point (L),121
121031,Diamond Beach (L),121
121032,Dunedoo (L),121
121033,Dunoon (L),121
121034,East Jindabyne (L),121
121035,Ellalong (L),121
121036,Emerald Beach West (L),121
121037,Erowal Bay (L),121
121038,Eugowra (L),121
121039,Ewingsdale (L),121
121040,Firgrove (L),121
121041,Ganmain (L),121
121042,Gerroa (L),121
121043,Glenorie (L),121
121044,Glenreagh (L),121
121045,Green Point (L),121
121046,Gundaroo (L),121
121047,Gunning (L),121
121048,Hallidays Point - West (L),121
121049,Hanwood (L),121
121050,Hastings Point (L),121
121051,Henty (L),121
121052,Huskisson (L),121
121053,Jerilderie (L),121
121054,Jilliby (L),121
121055,Kalaru (L),121
121056,Kendall (L),121
121057,Killingworth (L),121
121058,King Creek (L),121
121059,Kings Point (L),121
121060,Kingswood (L),121
121061,Kitchener (L),121
121062,Kurrajong Heights (L),121
121063,Lake Conjola (L),121
121064,Lake Tabourie (L),121
121065,Lawrence (L),121
121066,Lochinvar (L),121
121067,Lockhart (L),121
121068,Long Beach - Maloneys Beach (L),121
121069,Louth Park (L),121
121070,Maianbar (L),121
121071,Manildra (L),121
121072,Marulan (L),121
121073,Mathoura (L),121
121074,Medlow Bath (L),121
121075,Menangle (L),121
