trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1.T0.11-SK4-mjp-1.1.H,06:45:00,06:45:00,48578,1,,0,0,0.0
1.T0.11-SK4-mjp-1.1.H,06:48:00,06:48:00,45511,2,,0,1,349.56
1.T0.11-SK4-mjp-1.1.H,07:26:00,07:26:00,1109,3,,1,0,30393.3
1.T0.11-SK4-mjp-1.1.H,07:32:00,07:32:00,1100,4,,1,0,32762.91
1.T0.11-SK4-mjp-1.1.H,07:39:00,07:39:00,2517,5,,1,0,34450.59
1.T0.11-SK4-mjp-1.1.H,07:42:00,07:42:00,20394,6,,1,0,35384.11
1.T0.11-SK4-mjp-1.1.H,07:48:00,07:48:00,1414,7,,1,0,36768.76
1.T0.11-SK4-mjp-1.1.H,07:53:00,07:53:00,20400,8,,1,0,37685.55
1.T0.11-SK4-mjp-1.1.H,08:01:00,08:01:00,14948,9,,1,0,42155.59
1.T0.11-SK4-mjp-1.1.H,08:07:00,08:07:00,20988,10,,1,0,45409.49
1.T0.11-SK4-mjp-1.1.H,08:14:00,08:14:00,9349,11,,1,0,48858.63
1.T0.11-SK4-mjp-1.1.H,08:21:00,08:21:00,18695,12,,1,0,52481.28
1.T0.11-SK4-mjp-1.1.H,08:30:00,08:30:00,42273,13,,1,0,58344.32
1.T0.11-SK4-mjp-1.1.H,08:40:00,08:40:00,48784,14,,1,0,69307.51
1.T0.11-SK4-mjp-1.1.H,08:43:00,08:43:00,21220,15,,0,0,70294.72
1.T0.11-SKY-mjp-1.1.H,04:00:00,04:00:00,48578,1,,0,0,0.0
1.T0.11-SKY-mjp-1.1.H,04:03:00,04:03:00,45513,2,,0,1,1455.41
1.T0.11-SKY-mjp-1.1.H,04:06:00,04:06:00,45511,3,,0,1,1713.06
1.T0.11-SKY-mjp-1.1.H,04:29:00,04:29:00,23175,4,,0,0,23924.44
1.T2.11-SK4-mjp-1.1.H,06:00:00,06:00:00,48578,1,,0,0,0.0
1.T2.11-SK4-mjp-1.1.H,06:03:00,06:03:00,45511,2,,0,1,349.56
1.T2.11-SK4-mjp-1.1.H,06:36:00,06:36:00,1109,3,,1,0,30393.3
1.T2.11-SK4-mjp-1.1.H,06:42:00,06:42:00,1100,4,,1,0,32762.91
1.T2.11-SK4-mjp-1.1.H,06:49:00,06:49:00,2517,5,,1,0,34450.59
1.T2.11-SK4-mjp-1.1.H,06:52:00,06:52:00,20394,6,,1,0,35384.11
1.T2.11-SK4-mjp-1.1.H,06:58:00,06:58:00,1414,7,,1,0,36768.76
1.T2.11-SK4-mjp-1.1.H,07:03:00,07:03:00,20400,8,,1,0,37685.55
1.T2.11-SK4-mjp-1.1.H,07:10:00,07:10:00,14948,9,,1,0,42155.59
1.T2.11-SK4-mjp-1.1.H,07:16:00,07:16:00,20988,10,,1,0,45409.49
1.T2.11-SK4-mjp-1.1.H,07:23:00,07:23:00,9349,11,,1,0,48858.63
1.T2.11-SK4-mjp-1.1.H,07:30:00,07:30:00,18695,12,,1,0,52481.28
1.T2.11-SK4-mjp-1.1.H,07:38:00,07:38:00,42273,13,,1,0,58344.32
1.T2.11-SK4-mjp-1.1.H,07:49:00,07:49:00,48784,14,,1,0,69307.51
1.T2.11-SK4-mjp-1.1.H,07:52:00,07:52:00,21220,15,,0,0,70294.72
1.T2.11-SKY-mjp-1.1.H,04:00:00,04:00:00,48578,1,,0,0,0.0
1.T2.11-SKY-mjp-1.1.H,04:03:00,04:03:00,45513,2,,0,1,1455.41
1.T2.11-SKY-mjp-1.1.H,04:06:00,04:06:00,45511,3,,0,1,1713.06
1.T2.11-SKY-mjp-1.1.H,04:29:00,04:29:00,23175,4,,0,0,23924.44
1.T3.11-SK4-mjp-1.1.H,06:00:00,06:00:00,48578,1,,0,0,0.0
1.T3.11-SK4-mjp-1.1.H,06:03:00,06:03:00,45511,2,,0,1,349.56
1.T3.11-SK4-mjp-1.1.H,06:36:00,06:36:00,1109,3,,1,0,30393.3
1.T3.11-SK4-mjp-1.1.H,06:42:00,06:42:00,1100,4,,1,0,32762.91
1.T3.11-SK4-mjp-1.1.H,06:49:00,06:49:00,2517,5,,1,0,34450.59
1.T3.11-SK4-mjp-1.1.H,06:52:00,06:52:00,20394,6,,1,0,35384.11
1.T3.11-SK4-mjp-1.1.H,06:58:00,06:58:00,1414,7,,1,0,36768.76
1.T3.11-SK4-mjp-1.1.H,07:03:00,07:03:00,20400,8,,1,0,37685.55
1.T3.11-SK4-mjp-1.1.H,07:10:00,07:10:00,14948,9,,1,0,42155.59
1.T3.11-SK4-mjp-1.1.H,07:16:00,07:16:00,20988,10,,1,0,45409.49
1.T3.11-SK4-mjp-1.1.H,07:23:00,07:23:00,9349,11,,1,0,48858.63
1.T3.11-SK4-mjp-1.1.H,07:30:00,07:30:00,18695,12,,1,0,52481.28
1.T3.11-SK4-mjp-1.1.H,07:38:00,07:38:00,42273,13,,1,0,58344.32
1.T3.11-SK4-mjp-1.1.H,07:49:00,07:49:00,48784,14,,1,0,69307.51
1.T3.11-SK4-mjp-1.1.H,07:52:00,07:52:00,21220,15,,0,0,70294.72
1.T3.11-SKY-mjp-1.1.H,04:00:00,04:00:00,48578,1,,0,0,0.0
1.T3.11-SKY-mjp-1.1.H,04:03:00,04:03:00,45513,2,,0,1,1455.41
1.T3.11-SKY-mjp-1.1.H,04:06:00,04:06:00,45511,3,,0,1,1713.06
1.T3.11-SKY-mjp-1.1.H,04:29:00,04:29:00,23175,4,,0,0,23924.44
1.UG.11-SK4-mjp-1.1.H,06:00:00,06:00:00,48578,1,,0,0,0.0
1.UG.11-SK4-mjp-1.1.H,06:03:00,06:03:00,45511,2,,0,1,349.56
1.UG.11-SK4-mjp-1.1.H,06:36:00,06:36:00,1109,3,,1,0,30393.3
1.UG.11-SK4-mjp-1.1.H,06:42:00,06:42:00,1100,4,,1,0,32762.91
1.UG.11-SK4-mjp-1.1.H,06:49:00,06:49:00,2517,5,,1,0,34450.59
1.UG.11-SK4-mjp-1.1.H,06:52:00,06:52:00,20394,6,,1,0,35384.11
1.UG.11-SK4-mjp-1.1.H,06:58:00,06:58:00,1414,7,,1,0,36768.76
1.UG.11-SK4-mjp-1.1.H,07:03:00,07:03:00,20400,8,,1,0,37685.55
1.UG.11-SK4-mjp-1.1.H,07:10:00,07:10:00,14948,9,,1,0,42155.59
1.UG.11-SK4-mjp-1.1.H,07:16:00,07:16:00,20988,10,,1,0,45409.49
1.UG.11-SK4-mjp-1.1.H,07:23:00,07:23:00,9349,11,,1,0,48858.63
1.UG.11-SK4-mjp-1.1.H,07:30:00,07:30:00,18695,12,,1,0,52481.28
1.UG.11-SK4-mjp-1.1.H,07:38:00,07:38:00,42273,13,,1,0,58344.32
1.UG.11-SK4-mjp-1.1.H,07:49:00,07:49:00,48784,14,,1,0,69307.51
1.UG.11-SK4-mjp-1.1.H,07:52:00,07:52:00,21220,15,,0,0,70294.72
1.UG.11-SKY-mjp-1.1.H,04:00:00,04:00:00,48578,1,,0,0,0.0
1.UG.11-SKY-mjp-1.1.H,04:03:00,04:03:00,45513,2,,0,1,1455.41
1.UG.11-SKY-mjp-1.1.H,04:06:00,04:06:00,45511,3,,0,1,1713.06
1.UG.11-SKY-mjp-1.1.H,04:29:00,04:29:00,23175,4,,0,0,23924.44
1.UK.11-SK4-mjp-1.1.H,06:00:00,06:00:00,48578,1,,0,0,0.0
1.UK.11-SK4-mjp-1.1.H,06:03:00,06:03:00,45511,2,,0,1,349.56
1.UK.11-SK4-mjp-1.1.H,06:36:00,06:36:00,1109,3,,1,0,30393.3
1.UK.11-SK4-mjp-1.1.H,06:42:00,06:42:00,1100,4,,1,0,32762.91
1.UK.11-SK4-mjp-1.1.H,06:49:00,06:49:00,2517,5,,1,0,34450.59
1.UK.11-SK4-mjp-1.1.H,06:52:00,06:52:00,20394,6,,1,0,35384.11
1.UK.11-SK4-mjp-1.1.H,06:58:00,06:58:00,1414,7,,1,0,36768.76
1.UK.11-SK4-mjp-1.1.H,07:03:00,07:03:00,20400,8,,1,0,37685.55
1.UK.11-SK4-mjp-1.1.H,07:10:00,07:10:00,14948,9,,1,0,42155.59
1.UK.11-SK4-mjp-1.1.H,07:16:00,07:16:00,20988,10,,1,0,45409.49
1.UK.11-SK4-mjp-1.1.H,07:23:00,07:23:00,9349,11,,1,0,48858.63
1.UK.11-SK4-mjp-1.1.H,07:30:00,07:30:00,18695,12,,1,0,52481.28
1.UK.11-SK4-mjp-1.1.H,07:38:00,07:38:00,42273,13,,1,0,58344.32
1.UK.11-SK4-mjp-1.1.H,07:49:00,07:49:00,48784,14,,1,0,69307.51
1.UK.11-SK4-mjp-1.1.H,07:52:00,07:52:00,21220,15,,0,0,70294.72
1.UK.11-SKY-mjp-1.1.H,04:00:00,04:00:00,48578,1,,0,0,0.0
1.UK.11-SKY-mjp-1.1.H,04:03:00,04:03:00,45513,2,,0,1,1455.41
1.UK.11-SKY-mjp-1.1.H,04:06:00,04:06:00,45511,3,,0,1,1713.06
1.UK.11-SKY-mjp-1.1.H,04:29:00,04:29:00,23175,4,,0,0,23924.44
1.UM.11-SK4-mjp-1.1.H,06:00:00,06:00:00,48578,1,,0,0,0.0
1.UM.11-SK4-mjp-1.1.H,06:03:00,06:03:00,45511,2,,0,1,349.56
1.UM.11-SK4-mjp-1.1.H,06:36:00,06:36:00,1109,3,,1,0,30393.3
1.UM.11-SK4-mjp-1.1.H,06:42:00,06:42:00,1100,4,,1,0,32762.91
1.UM.11-SK4-mjp-1.1.H,06:49:00,06:49:00,2517,5,,1,0,34450.59
1.UM.11-SK4-mjp-1.1.H,06:52:00,06:52:00,20394,6,,1,0,35384.11
1.UM.11-SK4-mjp-1.1.H,06:58:00,06:58:00,1414,7,,1,0,36768.76
1.UM.11-SK4-mjp-1.1.H,07:03:00,07:03:00,20400,8,,1,0,37685.55
1.UM.11-SK4-mjp-1.1.H,07:10:00,07:10:00,14948,9,,1,0,42155.59
1.UM.11-SK4-mjp-1.1.H,07:16:00,07:16:00,20988,10,,1,0,45409.49
1.UM.11-SK4-mjp-1.1.H,07:23:00,07:23:00,9349,11,,1,0,48858.63
1.UM.11-SK4-mjp-1.1.H,07:30:00,07:30:00,18695,12,,1,0,52481.28
1.UM.11-SK4-mjp-1.1.H,07:38:00,07:38:00,42273,13,,1,0,58344.32
1.UM.11-SK4-mjp-1.1.H,07:49:00,07:49:00,48784,14,,1,0,69307.51
