route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
2-ain-mjp-1,,Flemington,Flinders Street,2,95979A,000000
2-ain-mjp-2,,Flemington,Showgrounds/Flemington - Flinders Street,2,95979A,000000
2-ain-mjp-4,,Flemington,Showgrounds/Flemington - Flinders Street,2,95979A,000000
2-ain-mjp-5,,Flemington,Flinders Street,2,95979A,000000
2-ALM-mjp-2,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-ALM-mjp-3,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-ALM-mjp-4,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-ALM-mjp-5,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-ALM-mjp-6,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-ALM-mjp-7,,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2-B31-mjp-2,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-B31-mjp-3,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-B31-mjp-4,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-B31-mjp-5,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-B31-mjp-6,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-B31-mjp-7,,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2-BEL-mjp-3,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-BEL-mjp-4,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-BEL-mjp-5,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-BEL-mjp-6,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-BEL-mjp-7,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-BEL-mjp-8,,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2-CRB-mjp-2,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-CRB-mjp-3,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-CRB-mjp-4,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-CRB-mjp-5,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-CRB-mjp-6,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-CRB-mjp-7,,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2-FKN-mjp-10,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-11,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-12,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-2,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-3,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-4,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-5,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-6,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-7,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-8,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-FKN-mjp-9,,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2-GLW-mjp-2,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-GLW-mjp-3,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-GLW-mjp-4,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-GLW-mjp-5,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-GLW-mjp-6,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-GLW-mjp-7,,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2-HBG-mjp-3,,Hurstbridge,Hurstbridge - City (Flinders Street),2,BE1014,FFFFFF
2-HBG-mjp-4,,Hurstbridge,Hurstbridge - City (Flinders Street),2,BE1014,FFFFFF
2-HBG-mjp-5,,Hurstbridge,Hurstbridge - City (Flinders Street),2,BE1014,FFFFFF
