service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,1,1,1,1,1,0,0,20240221,20240526
T0_1,1,1,1,1,1,0,0,20240221,20240526
T0_10,0,0,0,1,0,0,0,20240307,20240307
T0_11,0,0,0,0,1,0,0,20240308,20240308
T0_12,0,1,1,0,0,0,0,20240312,20240313
T0_13,0,0,0,1,1,0,0,20240314,20240315
T0_14,1,1,1,1,1,0,0,20240316,20240526
T0_2,0,0,1,1,0,0,0,20240221,20240222
T0_3,0,0,0,0,1,0,0,20240223,20240223
T0_4,1,1,0,0,0,0,0,20240225,20240227
T0_5,0,0,1,0,0,0,0,20240228,20240228
T0_6,0,0,0,1,1,0,0,20240229,20240301
T0_7,1,0,0,0,0,0,0,20240304,20240304
T0_8,0,1,0,0,0,0,0,20240305,20240305
T0_9,0,0,1,0,0,0,0,20240306,20240306
T0+WD01,1,0,0,0,0,0,0,20240221,20240526
T0+WD02,0,1,0,0,0,0,0,20240221,20240526
T0+WD04,0,0,1,0,0,0,0,20240221,20240526
T0+WD07,1,1,1,0,0,0,0,20240221,20240526
T0+WD08,0,0,0,1,0,0,0,20240221,20240526
T0+WD0A,0,1,0,1,0,0,0,20240221,20240526
T0+WD0C,0,0,1,1,0,0,0,20240221,20240526
T0+WD0E,0,1,1,1,0,0,0,20240221,20240526
T0+WD10,0,0,0,0,1,0,0,20240221,20240526
T0+WD10_1,0,0,0,0,1,0,0,20240221,20240526
T0+WD11,1,0,0,0,1,0,0,20240221,20240526
T0+WD12,0,1,0,0,1,0,0,20240221,20240526
T0+WD14,0,0,1,0,1,0,0,20240221,20240526
T0+WD18,0,0,0,1,1,0,0,20240221,20240526
T0+WD18_1,0,0,0,1,1,0,0,20240221,20240526
T0+WD6D,1,0,1,1,0,0,0,20240221,20240526
T0+WD6F,1,1,1,1,0,0,0,20240221,20240526
T0+WD75,1,0,1,0,1,0,0,20240221,20240526
T0+WD75_1,1,0,1,0,1,0,0,20240221,20240526
T0+WD79,1,0,0,1,1,0,0,20240221,20240526
T2,0,0,0,0,0,1,0,20240221,20240526
T2_1,0,0,0,0,0,1,0,20240221,20240526
T2_2,0,0,0,0,0,1,0,20240302,20240302
T2_3,0,0,0,0,0,1,0,20240406,20240406
T2_4,0,0,0,0,0,1,0,20240504,20240504
T3,0,0,0,0,0,0,1,20240221,20240526
T3_1,0,0,0,0,0,0,1,20240221,20240526
UG,0,0,0,1,0,0,0,20240221,20240526
UK,0,0,0,0,0,0,1,20240221,20240526
UM,1,0,0,0,0,0,0,20240221,20240526
UM_1,1,0,0,0,0,0,0,20240221,20240526
US,0,0,0,0,1,0,0,20240221,20240526
UT,1,0,0,0,0,0,0,20240221,20240526
UT_1,1,0,0,0,0,0,0,20240221,20240526
