route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
6-10B-mjp-1,T0,1.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T2,1.T2.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T3,1.T3.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UG,1.UG.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UK,1.UK.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UM,1.UM.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,US,1.US.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UT,1.UT.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T0,10.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T2,10.T2.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T3,10.T3.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UG,10.UG.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UK,10.UK.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UM,10.UM.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,US,10.US.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UT,10.UT.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T0,11.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T2,11.T2.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T3,11.T3.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UG,11.UG.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UK,11.UK.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UM,11.UM.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,US,11.US.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UT,11.UT.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T0,12.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T2,12.T2.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T3,12.T3.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UG,12.UG.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,UK,12.UK.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UM,12.UM.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,US,12.US.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UT,12.UT.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T0,13.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
6-10B-mjp-1,T2,13.T2.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,T3,13.T3.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UG,13.UG.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UK,13.UK.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UM,13.UM.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,US,13.US.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,UT,13.UT.6-10B-mjp-1.2.R,6-10B-mjp-1.2.R,Ballarat Station,1
6-10B-mjp-1,T0,14.T0.6-10B-mjp-1.1.H,6-10B-mjp-1.1.H,Alfredton,0
